ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.590941.peg.5501	CuatroCienegas	22.1	Streptomyces lentzea CC965	T2PKS	PKS-like	LL-D49194alpha1 (LLD)	32
fig|6666666.590941.peg.1163	CuatroCienegas	15.2	Streptomyces lentzea CC831	PKS-like	indole	fortimicin	6
fig|6666666.737887.peg.5662	CuatroCienegas	100.1	Streptomyces sp CC208A	NRPS	NRPS	rustmicin	6
fig|6666666.590941.peg.278	CuatroCienegas	32.1	Streptomyces lentzea CC1013	NRPS	T1PKS	butyrolactol A	66
fig|6666666.590941.peg.3184	CuatroCienegas	51.1	Streptomyces lentzea CC1345	NRPS	NRPS	streptolydigin	10
fig|6666666.590939.peg.5066	CuatroCienegas	381.1	Streptomyces rochei CC655	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590940.peg.1958	CuatroCienegas	42.4	Streptomyces rochei CC685	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590941.peg.5161	CuatroCienegas	5.1	Streptomyces lentzea CC479	NRPS	NRPS	coelichelin	72
fig|6666666.590941.peg.6591	CuatroCienegas	1.2	Streptomyces lentzea CC105	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590938.peg.5946	CuatroCienegas	78.1	Streptomyces rochei CC198	indole	indole	7-prenylisatin	100
fig|6666666.563202.peg.2047	CuatroCienegas	215.1	Streptomyces sp. CC224B	NRPS	NRPS	WAP-8294A2	20
fig|6666666.737888.peg.1240	CuatroCienegas	96.1	Streptomyces sp. CC219B	NRPS	NRPS	pepticinnamin E	6
fig|6666666.590938.peg.2101	CuatroCienegas	176.1	Streptomyces rochei CC505	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590940.peg.161	CuatroCienegas	8.1	Streptomyces rochei CC203	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.6103	CuatroCienegas	280.2	Streptomyces rochei CC474	indole	indole	7-prenylisatin	100
fig|6666666.590940.peg.6834	CuatroCienegas	43.1	Streptomyces rochei CC698	indole	indole	7-prenylisatin	100
fig|6666666.540620.peg.12183	CuatroCienegas	107.1	Streptomyces sp. CC226D	T2PKS	oligosaccharide	chromomycin A3	100
fig|6666666.563200.peg.262	CuatroCienegas	111.1	Streptomyces sp. CC216B	T2PKS	oligosaccharide	chromomycin A3	100
fig|6666666.563201.peg.2116	CuatroCienegas	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.540754.peg.4208	CuatroCienegas	51.1	Streptomyces sp. CC224E	T1PKS	NRPS	bacillibactin	100
fig|6666666.563200.peg.5361	CuatroCienegas	79.1	Streptomyces sp. CC216B	lanthipeptide	lanthipeptide		
fig|6666666.563202.peg.5290	CuatroCienegas	146.1	Streptomyces sp. CC224B	other	NRPS	polyoxypeptin	37
fig|6666666.540754.peg.6988	CuatroCienegas	8.1	Streptomyces sp. CC224E	other	PKS-like	daptomycin	7
fig|6666666.590941.peg.5480	CuatroCienegas	22.1	Streptomyces lentzea CC944	T2PKS	PKS-like	LL-D49194alpha1 (LLD)	32
fig|6666666.563202.peg.8329	CuatroCienegas	84.1	Streptomyces sp. CC224B	NRPS	ladderane	friulimicin A / friulimicin B / friulimicin C / friulimicin D	24
fig|6666666.590941.peg.3294	CuatroCienegas	4.1	Streptomyces lentzea CC436	NRPS	NRPS		
fig|6666666.590941.peg.3871	CuatroCienegas	35.1	Streptomyces lentzea CC1140	T1PKS	T1PKS	maduropeptin	28
fig|6666666.540620.peg.13564	CuatroCienegas	31.1	Streptomyces sp. CC226D	thioamide-NRP	NRPS	atratumycin	21
fig|6666666.563200.peg.6120	CuatroCienegas	38.1	Streptomyces sp. CC216B	ladderane	ladderane	atratumycin	18
fig|6666666.737888.peg.1242	CuatroCienegas	96.1	Streptomyces sp. CC219B	NRPS	NRPS	pepticinnamin E	6
fig|6666666.590941.peg.6717	CuatroCienegas	1.3	Streptomyces lentzea CC223	NRPS	CDPS	coelibactin	36
fig|6666666.540227.peg.6581	CuatroCienegas	44.2	Nocardia sp. CC227C	T2PKS	T2PKS	enterocin	60
fig|6666666.563202.peg.2045	CuatroCienegas	215.1	Streptomyces sp. CC224B	NRPS	NRPS	WAP-8294A2	20
fig|6666666.590941.peg.6176	CuatroCienegas	6.1	Streptomyces lentzea CC488	NRPS-like	PKS-like	xantholipin	12
fig|6666666.540620.peg.14757	CuatroCienegas	85.2	Streptomyces sp. CC226D	NRPS	NRPS	polyoxypeptin	8
fig|6666666.590941.peg.3423	CuatroCienegas	7.2	Streptomyces lentzea CC696	terpene	terpene	geosmin	100
fig|6666666.540227.peg.4229	CuatroCienegas	39.2	Nocardia sp. CC227C	NRPS	NRPS	atratumycin	5
fig|6666666.540621.peg.2420	CuatroCienegas	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.563202.peg.8239	CuatroCienegas	96.1	Streptomyces sp. CC224B	T1PKS	T1PKS	diisonitrile antibiotic SF2768	11
fig|6666666.540620.peg.1722	CuatroCienegas	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.563200.peg.5369	CuatroCienegas	79.1	Streptomyces sp. CC216B	lanthipeptide	lanthipeptide		
fig|6666666.737888.peg.4035	CuatroCienegas	11.1	Streptomyces sp. CC219B	NRPS	NRPS	thiocoraline	21
fig|6666666.584551.peg.7117	CuatroCienegas	187.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	thiolutin	16
fig|6666666.563202.peg.5263	CuatroCienegas	146.1	Streptomyces sp. CC224B	other	NRPS	polyoxypeptin	37
fig|6666666.590941.peg.1164	CuatroCienegas	15.2	Streptomyces lentzea CC832	PKS-like	indole	fortimicin	6
BGC0000105_AAP42853	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	nanchangmycin	100
BGC0000206_CAH10160	MiBIG	-	Streptomyces chartreusis	Polyketide	Polyketide	chartreusin	100
BGC0000020_AAM54096	MiBIG	-	Actinosynnema pretiosum subsp. auranticum	Polyketide	Polyketide	ansamitocin	100
BGC0001511_AQZ37105	MiBIG	-	Actinosynnema pretiosum subsp. pretiosum	Polyketide	Polyketide	ansamitocin P-3	100
BGC0000105_AAP42854	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	nanchangmycin	100
BGC0001288_BAQ25500	MiBIG	-	Micromonospora sp. GMKU326	Polyketide	Polyketide	maklamicin	100
BGC0001439_OWA01684	MiBIG	-	Streptomyces sp. CS113	Polyketide-Saccharide	Polyketide-Saccharide	cervimycin	100
BGC0000194_CAC44198	MiBIG	-	Streptomyces coelicolor A3(2)	Polyketide	Polyketide	actinorhodin	100
BGC0001433_SCO70300	MiBIG	-	Streptomyces argillaceus	Polyketide	Polyketide	argimycin P	100
BGC0000038_CAC37881	MiBIG	-	Streptomyces coelicolor A3(2)	Polyketide	Polyketide	coelimycin	100
BGC0000952_CBW45731	MiBIG	-	Streptomyces pristinaespiralis	NRP-Polyketide	NRP-Polyketide	pristinamycin	100
BGC0001513_AUO15556	MiBIG	-	Actinobacteria bacterium	Polyketide	Polyketide	anthrabenzoxocinone	100
BGC0000378_ABV56591	MiBIG	-	Kutzneria sp. 744	NRP	NRP	kutznerides	100
BGC0000038_CAC37890	MiBIG	-	Streptomyces coelicolor A3(2)	Polyketide	Polyketide	coelimycin	100
BGC0000222_BAJ52674	MiBIG	-	Streptomyces sp. TA-0256	Polyketide	Polyketide	FD-594	100
BGC0001083_AGH68913	MiBIG	-	Streptomyces sp. CNH189	Polyketide-Terpene	Polyketide-Terpene	merochlorin	100
BGC0000193_AAF73451	MiBIG	-	Streptomyces galilaeus	Polyketide	Polyketide	aclacinomycin	100
BGC0001376_AMK51258	MiBIG	-	Streptosporangium sp. FXJ7.131	Polyketide	Polyketide	hexaricin A-hexaricin B-hexaricin C	100
BGC0000459_AGN74902	MiBIG	-	Streptomyces griseoviridis	NRP-Polyketide	NRP-Polyketide	griseoviridin-viridogrisein	100
BGC0000220_AAF81721	MiBIG	-	Streptomyces maritimus	Polyketide	Polyketide	enterocin	100
BGC0000164_BAE93738	MiBIG	-	Streptomyces sp. NRRL 11266	Polyketide	Polyketide	tetronomycin	100
BGC0000141_CAI94728	MiBIG	-	Streptomyces achromogenes subsp. rubradiris	Polyketide	Polyketide	rubradirin	100
BGC0000212_EDY42552	MiBIG	-	Streptomyces sp. SPB74	Polyketide	Polyketide	cinerubin B	100
BGC0000135_BAK64633	MiBIG	-	Streptomyces sp. SN-593	Polyketide	Polyketide	reveromycin	100
BGC0001078_BAE78990	MiBIG	-	Streptomyces sp. KO-3988	Polyketide-Terpene	Polyketide-Terpene	furaquinocin A	100
BGC0000036_AAZ77687	MiBIG	-	Streptomyces antibioticus	Polyketide-Saccharide	Polyketide-Saccharide	chlorothricin	100
BGC0000230_AAM33680	MiBIG	-	Streptomyces sp. JP95	Polyketide	Polyketide	griseorhodin	100
BGC0001386_BAU98031	MiBIG	-	Streptomyces sp. RI-77	Polyketide	Polyketide	JBIR-76-JBIR-77	100
BGC0000163_ACR50789	MiBIG	-	Streptomyces longisporoflavus	Polyketide	Polyketide	tetronasin	100
BGC0001366_ctg1_orf2	MiBIG	-	Streptomyces sp. FJS31-2	Polyketide	Polyketide	BE-24566B-zunyimycin A	100
BGC0001332_WP_018540597	MiBIG	-	Streptomyces sp. MspMP-M5	NRP-Polyketide	NRP-Polyketide	microtermolide A	100
BGC0001714_WP_039916129	MiBIG	-	Amycolatopsis azurea DSM 43854	NRP-Polyketide	NRP-Polyketide	octacosamicin	100
BGC0001083_AGH68920	MiBIG	-	Streptomyces sp. CNH189	Polyketide-Terpene	Polyketide-Terpene	merochlorin	100
BGC0001083_AGH68916	MiBIG	-	Streptomyces sp. CNH189	Polyketide-Terpene	Polyketide-Terpene	merochlorin	100
BGC0001676_AVR52623	MiBIG	-	Streptomyces sp. FXJ1.235	Alkaloid	Alkaloid	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	100
BGC0000952_CBW45736	MiBIG	-	Streptomyces pristinaespiralis	NRP-Polyketide	NRP-Polyketide	pristinamycin	100
BGC0000610_ACR48345	MiBIG	-	Streptomyces actuosus	RiPP	RiPP	nosiheptide	100
BGC0000885_BAJ08169	MiBIG	-	Streptomyces murayamaensis	Other	Other	4-hydroxy-3-nitrosobenzamide	100
BGC0001062_ADB23404	MiBIG	-	Micromonospora echinospora subsp. challisensis	Polyketide	Polyketide	TLN-05220	100
BGC0000201_ADM72850	MiBIG	-	Streptomyces aureofaciens	Polyketide-Saccharide	Polyketide-Saccharide	auricin	100
BGC0000216_AFU65883	MiBIG	-	Dactylosporangium sp. SC14051	Polyketide	Polyketide	dactylocycline	100
BGC0001730_ASA49562	MiBIG	-	Actinoallomurus sp.	Polyketide	Polyketide	paramagnetoquinone 1-paramagnetoquinone 2	100
BGC0001204_BAQ21957	MiBIG	-	Streptomyces versipellis	Polyketide	Polyketide	versipelostatin	100
BGC0001625_APR73628	MiBIG	-	Streptomyces sp. CB01883	Polyketide	Polyketide	isofuranonaphthoquinone	100
BGC0000245_BAC79037	MiBIG	-	Streptomyces sp. AM-7161	Polyketide	Polyketide	medermycin	100
BGC0000144_AEZ53968	MiBIG	-	Streptomyces albus	Polyketide	Polyketide	salinomycin	100
BGC0000100_AAO65809	MiBIG	-	Streptomyces cinnamonensis	Polyketide	Polyketide	monensin	100
BGC0001670_ANZ52472	MiBIG	-	Streptomyces cinnamonensis	Polyketide	Polyketide	monensin	100
BGC0001675_AQW35056	MiBIG	-	Streptomyces griseoruber	Polyketide	Polyketide	murayaquinone	100
BGC0000201_ADM72849	MiBIG	-	Streptomyces aureofaciens	Polyketide-Saccharide	Polyketide-Saccharide	auricin	100
BGC0000847_CAD18989	MiBIG	-	Streptomyces cattleya	Other	Other	thienamycin	100
BGC0001732_AIE54233	MiBIG	-	Streptomyces sp. YN86	Other	Other	paulomycin	100
BGC0001731_AIE54180	MiBIG	-	Streptomyces paulus	Other	Other	paulomycin	100
BGC0000727_ACK77758	MiBIG	-	Streptomyces aureofaciens	Saccharide	Saccharide	auricin deoxysugar moieties	100
BGC0000141_CAI94699	MiBIG	-	Streptomyces achromogenes subsp. rubradiris	Polyketide	Polyketide	rubradirin	100
BGC0000133_AFI57010	MiBIG	-	Amycolatopsis orientalis	Polyketide	Polyketide	quartromicin	100
BGC0000084_AFL48534	MiBIG	-	Streptomyces sp. CS684	Polyketide	Polyketide	laidlomycin	100
BGC0001293_ALP32055	MiBIG	-	Streptomyces sp. NCIB 11649	Polyketide	Polyketide	cyclizidine	100
BGC0000190_ADG86334	MiBIG	-	Streptomyces sp. SANK 61196	Polyketide	Polyketide	A-74528	100
BGC0000952_CBW45766	MiBIG	-	Streptomyces pristinaespiralis	NRP-Polyketide	NRP-Polyketide	pristinamycin	100
BGC0001649_BBA84072	MiBIG	-	Streptomyces lavendulae	Polyketide	Polyketide	lavendiol	100
BGC0000204_CAM58803	MiBIG	-	Streptomyces sp. A2991200	Polyketide	Polyketide	benastatin	100
BGC0001676_AVR52590	MiBIG	-	Streptomyces sp. FXJ1.235	Alkaloid	Alkaloid	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	100
BGC0000583_YP_001827878	MiBIG	-	Streptomyces griseus subsp. griseus NBRC 13350	RiPP	RiPP	grisemycin	100
BGC0000273_CAJ42325	MiBIG	-	Streptomyces steffisburgensis	Polyketide-Saccharide	Polyketide-Saccharide	steffimycin	100
BGC0000059_BAC68120	MiBIG	-	Streptomyces avermitilis MA-4680 = NBRC 14893	Polyketide	Polyketide	filipin	100
BGC0001083_AGH68921	MiBIG	-	Streptomyces sp. CNH189	Polyketide-Terpene	Polyketide-Terpene	merochlorin	100
BGC0000609_ADR01055	MiBIG	-	Nocardia sp. ATCC 202099	RiPP	RiPP	nocathiacin	100
BGC0000952_CBW45751	MiBIG	-	Streptomyces pristinaespiralis	NRP-Polyketide	NRP-Polyketide	pristinamycin	100
BGC0000133_AFI57029	MiBIG	-	Amycolatopsis orientalis	Polyketide	Polyketide	quartromicin	100
BGC0001073_AFJ52668	MiBIG	-	Micromonospora sp. TP-A0468	NRP-Polyketide	NRP-Polyketide	kosinostatin	100
BGC0000315_CAB38588	MiBIG	-	Streptomyces coelicolor A3(2)	NRP	NRP	calcium-dependent antibiotic	100
BGC0000123_AAQ84142	MiBIG	-	Streptomyces sp. HK803	Polyketide	Polyketide	phoslactomycin B	100
BGC0000242_CAM34372	MiBIG	-	Streptomyces tendae	Polyketide	Polyketide	lysolipin	100
BGC0000221_ACX83625	MiBIG	-	uncultured soil bacterium V167	Polyketide	Polyketide	erdacin	100
BGC0001798_AVV48298	MiBIG	-	Streptomyces sp.	Polyketide	Polyketide	tetrapetalone A-tetrapetalone B-tetrapetalone C-tetrapetalone D	100
BGC0000889_BAM73630	MiBIG	-	Streptomyces sp. WK-5344	Other	Other	bagremycin	100
BGC0000191_BAB72052	MiBIG	-	Streptomyces galilaeus	Polyketide	Polyketide	aclacinomycin	100
BGC0000192_AAF70113	MiBIG	-	Streptomyces galilaeus	Polyketide	Polyketide	aclacinomycin	100
BGC0001693_ARD70855	MiBIG	-	Micromonospora echinospora	Polyketide	Polyketide	nenestatin	100
BGC0001116_BAF50715	MiBIG	-	Streptomyces virginiae	NRP-Polyketide	NRP-Polyketide	virginiamycin	100
BGC0000319_EDY47113	MiBIG	-	Streptomyces clavuligerus ATCC 27064	NRP	NRP	cephamycin C	100
BGC0000662_BAG21069	MiBIG	-	Streptomyces griseus subsp. griseus NBRC 13350	Terpene	Terpene	grixazone	100
BGC0000625_BAN83931	MiBIG	-	Streptomyces olivoviridis	RiPP	RiPP	thioviridamide	100
BGC0001803_BAN83931	MiBIG	-	Streptomyces olivoviridis	RiPP	RiPP	thioviridamide	100
BGC0001444_WP_078569188	MiBIG	-	Streptomyces sp. NTK 937	Other	Other	caboxamycin	100
BGC0001063_CAA16486	MiBIG	-	Streptomyces coelicolor A3(2)	NRP-Polyketide	NRP-Polyketide	undecylprodigiosin	100
BGC0000238_ABX71098	MiBIG	-	Streptomyces rishiriensis	Polyketide	Polyketide	lactonamycin	100
BGC0000224_AAQ08934	MiBIG	-	Streptomyces griseus	Polyketide	Polyketide	fredericamycin	100
BGC0001368_WP_063834945	MiBIG	-	Streptomyces sp. NRRL F-4474	NRP	NRP	tambromycin	100
BGC0000212_EDY42525	MiBIG	-	Streptomyces sp. SPB74	Polyketide	Polyketide	cinerubin B	100
BGC0001074_KDN80039	MiBIG	-	Streptomyces olindensis	Polyketide-Saccharide	Polyketide-Saccharide	cosmomycin D	100
BGC0001694_AVI57410	MiBIG	-	Streptomyces koyangensis	Polyketide	Polyketide	meoabyssomicin-abyssomicin	100
BGC0000654_ABB69733	MiBIG	-	Streptomyces sp. Tu6071	Saccharide-Terpene	Saccharide-Terpene	phenalinolactone	100
BGC0000915_AAD28451	MiBIG	-	Streptomyces lavendulae	Other	Other	mitomycin	100
BGC0000195_ACI88877	MiBIG	-	Streptomyces sp. CM020	Polyketide	Polyketide	alnumycin	100
BGC0000257_BAG84243	MiBIG	-	Streptomyces griseoviridis	Polyketide	Polyketide	prodigiosin	100
BGC0000238_ABX71106	MiBIG	-	Streptomyces rishiriensis	Polyketide	Polyketide	lactonamycin	100
BGC0001558_WP_018891721	MiBIG	-	Streptomyces sp. CNT302	Polyketide	Polyketide	cosmomycin C-cosmomycin D	100
BGC0001083_AGH68919	MiBIG	-	Streptomyces sp. CNH189	Polyketide-Terpene	Polyketide-Terpene	merochlorin	100
BGC0000333_ABW00321	MiBIG	-	Salinispora arenicola CNS-205	NRP	NRP	cyclomarin	100
BGC0000241_ABP54629	MiBIG	-	Salinispora tropica CNB-440	Polyketide-Saccharide	Polyketide-Saccharide	lomaiviticin	100
BGC0001568_ATJ00782	MiBIG	-	Streptomyces sp. SCSIO 1666	Polyketide	Polyketide	cytorhodin	100
BGC0000213_AIL50163	MiBIG	-	Streptomyces aureus	Polyketide	Polyketide	colabomycin	100
BGC0001061_ACN64842	MiBIG	-	Streptomyces diastatochromogenes	Polyketide-Saccharide	Polyketide-Saccharide	polyketomycin	100
BGC0001500_AMX23318	MiBIG	-	Actinoallomurus sp. ID145698	Polyketide	Polyketide	allocyclinone	100
BGC0001719_AWM72919	MiBIG	-	Streptomyces olivaceus	Polyketide	Polyketide	olimycin A-olimycin B	100
BGC0000226_AAP69594	MiBIG	-	Streptomyces griseoflavus	Polyketide	Polyketide	gilvocarcin	100
BGC0000609_ADR01065	MiBIG	-	Nocardia sp. ATCC 202099	RiPP	RiPP	nocathiacin	100
BGC0001179_AHL46725	MiBIG	-	Streptomyces bottropensis	Polyketide	Polyketide	rishirilide B	100
BGC0000187_ADI58657	MiBIG	-	Streptomyces nodosus subsp. asukaensis	Polyketide	Polyketide	asukamycin	100
BGC0000210_CAE17531	MiBIG	-	Streptomyces griseus subsp. griseus	Polyketide-Saccharide	Polyketide-Saccharide	chromomycin A3	100
BGC0001666_ATY46596	MiBIG	-	Micromonospora sp. HK160111	Polyketide	Polyketide	microansamycin	100
BGC0000269_ADE34517	MiBIG	-	Streptomyces sp. SF2575	Other-Polyketide-Saccharide	Other-Polyketide-Saccharide	SF2575	100
BGC0000429_AEA30287	MiBIG	-	Streptomyces sp. Acta 2897	NRP	NRP	skyllamycin	100
BGC0000209_AEI98645	MiBIG	-	Streptomyces aureofaciens	Polyketide	Polyketide	chlortetracycline	100
BGC0001690_AQT01397	MiBIG	-	Streptomyces gilvosporeus	Polyketide	Polyketide	natamycin	100
BGC0000230_AAM33679	MiBIG	-	Streptomyces sp. JP95	Polyketide	Polyketide	griseorhodin	100
BGC0001368_WP_063834944	MiBIG	-	Streptomyces sp. NRRL F-4474	NRP	NRP	tambromycin	100
BGC0001622_ARG41909	MiBIG	-	Streptomyces sp.	Polyketide	Polyketide	isatropolone A-isotropolone B-isotropolone C	100
BGC0000108_ADX66458	MiBIG	-	Streptomyces chattanoogensis	Polyketide	Polyketide	natamycin	100
BGC0001295_ALA99205	MiBIG	-	Streptomyces cremeus	Other	Other	cremeomycin	100
BGC0001762_AOZ61200	MiBIG	-	Streptomyces sp. KIB-H033	Alkaloid	Alkaloid	rubrolone A-rubrolone B	100
BGC0001294_WP_031020590	MiBIG	-	Streptomyces sp. MBT28	Other	Other	7-prenylisatin	100
BGC0000238_ABX71105	MiBIG	-	Streptomyces rishiriensis	Polyketide	Polyketide	lactonamycin	100
BGC0001675_AQW35038	MiBIG	-	Streptomyces griseoruber	Polyketide	Polyketide	murayaquinone	100
BGC0001409_AKD43507	MiBIG	-	Streptomyces minoensis	Polyketide	Polyketide	dutomycin	100
BGC0000240_AHZ61841	MiBIG	-	Salinispora pacifica	Polyketide-Saccharide	Polyketide-Saccharide	lomaiviticin	100
BGC0001801_CCA53792	MiBIG	-	Streptomyces venezuelae ATCC 10712	NRP	NRP	thiazostatin-watasemycin A-watasemycin B-2-hydroxyphenylthiazoline enantiopyochelin-isopyochelin	100
BGC0000227_CAA09630	MiBIG	-	Streptomyces violaceoruber	Polyketide	Polyketide	granaticin	100
BGC0001382_ALV82462	MiBIG	-	Streptomyces variabilis	NRP-Polyketide	NRP-Polyketide	svaricin	100
BGC0000001_AEK75495	MiBIG	-	Verrucosispora maris AB-18-032	Polyketide	Polyketide	abyssomicin	100
BGC0000199_AHA81980	MiBIG	-	uncultured bacterium	Polyketide-Saccharide	Polyketide-Saccharide	arimetamycin	100
BGC0000225_AAC18102	MiBIG	-	Streptomyces roseofulvus	Polyketide	Polyketide	frenolicin	100
BGC0000266_AAM97369	MiBIG	-	Streptomyces collinus	Polyketide	Polyketide	rubromycin	100
BGC0000091_AHF22840	MiBIG	-	Streptomyces sp. CNQ-617	Polyketide	Polyketide	marineosin	100
BGC0001623_BAX64243	MiBIG	-	Streptomyces sp. MSC090213JE08	NRP-Polyketide	NRP-Polyketide	ishigamide	100
BGC0000233_AAP85351	MiBIG	-	Streptomyces griseoruber	Polyketide	Polyketide	hedamycin	100
BGC0000021_AEP40927	MiBIG	-	Nocardiopsis sp. FU40	Polyketide	Polyketide	apoptolidin	100
BGC0000841_EFG04565	MiBIG	-	Streptomyces clavuligerus ATCC 27064	Other	Other	alanylclavam	100
BGC0001503_ATV95651	MiBIG	-	Amycolatopsis sp.	Polyketide	Polyketide	amycolamycin A-amycolamycin B	100
BGC0000250_CAA12016	MiBIG	-	Streptomyces nogalater	Polyketide-Saccharide	Polyketide-Saccharide	nogalamycin	100
BGC0001169_AHE80990	MiBIG	-	Streptomyces sp. SCSIO 03032	Polyketide	Polyketide	piericidin A1	100
BGC0000081_AFV52162	MiBIG	-	Streptoalloteichus sp. ATCC 53650	Polyketide	Polyketide	kedarcidin	100
BGC0000021_AEP40918	MiBIG	-	Nocardiopsis sp. FU40	Polyketide	Polyketide	apoptolidin	100
BGC0000175_AFO59862	MiBIG	-	Streptomyces sp. YIM 56141	Polyketide	Polyketide	cycloheximide-actiphenol	100
BGC0000150_ABP55181	MiBIG	-	Salinispora tropica CNB-440	NRP-Polyketide	NRP-Polyketide	sporolide	100
BGC0000177_ACY01386	MiBIG	-	Streptomyces platensis subsp. rosaceus	Polyketide	Polyketide	dorrigocin-migrastatin	100
BGC0000414_BAO84869	MiBIG	-	Streptomyces melanovinaceus	NRP	NRP	quinocarcin	100
BGC0000394_AGD80615	MiBIG	-	Streptomyces lusitanus	NRP	NRP	naphthyridinomycin	100
BGC0001764_BAW27698	MiBIG	-	Streptomyces sp. SoC090715LN-17	NRP	NRP	s56-p1	100
BGC0001232_WP_043474107	MiBIG	-	Kitasatospora sp. MBT66	Polyketide	Polyketide	leucanicidin	100
BGC0001387_AMP46592	MiBIG	-	Streptomyces calvus	Other	Other	nucleocidin	100
BGC0001348_WP_030890475	MiBIG	-	Streptomyces varsoviensis	Polyketide	Polyketide	JBIR-100	100
BGC0001439_OWA01609	MiBIG	-	Streptomyces sp. CS113	Polyketide-Saccharide	Polyketide-Saccharide	cervimycin	100
BGC0000340_AHN91929	MiBIG	-	Streptomyces sp. LZ35	NRP	NRP	echosides	100
BGC0000197_ABL09963	MiBIG	-	Streptomyces echinatus	Polyketide-Saccharide	Polyketide-Saccharide	aranciamycin	100
BGC0000197_ABL09952	MiBIG	-	Streptomyces echinatus	Polyketide-Saccharide	Polyketide-Saccharide	aranciamycin	100
BGC0000028_ADC79626	MiBIG	-	Streptomyces lohii	Polyketide	Polyketide	bafilomycin	100
BGC0000024_CAE02599	MiBIG	-	Streptomyces thioluteus	Polyketide	Polyketide	aureothin	100
BGC0000459_AGN74872	MiBIG	-	Streptomyces griseoviridis	NRP-Polyketide	NRP-Polyketide	griseoviridin-viridogrisein	100
BGC0000247_CAK50770	MiBIG	-	Streptomyces argillaceus	Polyketide-Saccharide	Polyketide-Saccharide	mithramycin	100
BGC0000503_CAD60533	MiBIG	-	Streptomyces cinnamoneus	RiPP	RiPP	cinnamycin	100
BGC0000439_AHH53517	MiBIG	-	Saccharomonospora sp. CNQ490	NRP	NRP	taromycin	100
