ID	Clusteric	Organism	Product	Type
BGC0000135	Intraclusteric	Streptomyces sp. SN-593	reveromycin	Polyketide
BGC0001078	Intraclusteric	Streptomyces sp. KO-3988	furaquinocin A	Polyketide-Terpene
BGC0000036	Intraclusteric	Streptomyces antibioticus	chlorothricin	Polyketide-Saccharide
BGC0000230	Intraclusteric	Streptomyces sp. JP95	griseorhodin	Polyketide
BGC0001386	Intraclusteric	Streptomyces sp. RI-77	JBIR-76-JBIR-77	Polyketide
BGC0000163	Intraclusteric	Streptomyces longisporoflavus	tetronasin	Polyketide
BGC0001366	Intraclusteric	Streptomyces sp. FJS31-2	BE-24566B-zunyimycin A	Polyketide
BGC0001332	Intraclusteric	Streptomyces sp. MspMP-M5	microtermolide A	NRP-Polyketide
BGC0001714	Intraclusteric	Amycolatopsis azurea DSM 43854	octacosamicin	NRP-Polyketide
BGC0001083	Intraclusteric	Streptomyces sp. CNH189	merochlorin	Polyketide-Terpene
BGC0001083	Intraclusteric	Streptomyces sp. CNH189	merochlorin	Polyketide-Terpene
BGC0001676	Intraclusteric	Streptomyces sp. FXJ1.235	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	Alkaloid
BGC0000952	Intraclusteric	Streptomyces pristinaespiralis	pristinamycin	NRP-Polyketide
BGC0000610	Intraclusteric	Streptomyces actuosus	nosiheptide	RiPP
BGC0001296	Intraclusteric	Streptomyces sp. MSC090213JE08	streptazone E	Polyketide
BGC0000885	Intraclusteric	Streptomyces murayamaensis	4-hydroxy-3-nitrosobenzamide	Other
BGC0001062	Intraclusteric	Micromonospora echinospora subsp. challisensis	TLN-05220	Polyketide
BGC0000201	Intraclusteric	Streptomyces aureofaciens	auricin	Polyketide-Saccharide
BGC0000216	Intraclusteric	Dactylosporangium sp. SC14051	dactylocycline	Polyketide
BGC0001730	Intraclusteric	Actinoallomurus sp.	paramagnetoquinone 1-paramagnetoquinone 2	Polyketide
BGC0001204	Intraclusteric	Streptomyces versipellis	versipelostatin	Polyketide
BGC0001625	Intraclusteric	Streptomyces sp. CB01883	isofuranonaphthoquinone	Polyketide
BGC0000245	Intraclusteric	Streptomyces sp. AM-7161	medermycin	Polyketide
BGC0000144	Intraclusteric	Streptomyces albus	salinomycin	Polyketide
BGC0000100	Intraclusteric	Streptomyces cinnamonensis	monensin	Polyketide
BGC0001670	Intraclusteric	Streptomyces cinnamonensis	monensin	Polyketide
BGC0001675	Intraclusteric	Streptomyces griseoruber	murayaquinone	Polyketide
BGC0000201	Intraclusteric	Streptomyces aureofaciens	auricin	Polyketide-Saccharide
BGC0000847	Intraclusteric	Streptomyces cattleya	thienamycin	Other
BGC0001732	Intraclusteric	Streptomyces sp. YN86	paulomycin	Other
BGC0001731	Intraclusteric	Streptomyces paulus	paulomycin	Other
BGC0000727	Intraclusteric	Streptomyces aureofaciens	auricin deoxysugar moieties	Saccharide
BGC0000141	Intraclusteric	Streptomyces achromogenes subsp. rubradiris	rubradirin	Polyketide
BGC0000133	Intraclusteric	Amycolatopsis orientalis	quartromicin	Polyketide
BGC0000084	Intraclusteric	Streptomyces sp. CS684	laidlomycin	Polyketide
BGC0001293	Intraclusteric	Streptomyces sp. NCIB 11649	cyclizidine	Polyketide
BGC0000190	Intraclusteric	Streptomyces sp. SANK 61196	A-74528	Polyketide
BGC0000952	Intraclusteric	Streptomyces pristinaespiralis	pristinamycin	NRP-Polyketide
BGC0001649	Intraclusteric	Streptomyces lavendulae	lavendiol	Polyketide
BGC0000204	Intraclusteric	Streptomyces sp. A2991200	benastatin	Polyketide
BGC0001676	Intraclusteric	Streptomyces sp. FXJ1.235	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	Alkaloid
BGC0000583	Intraclusteric	Streptomyces griseus subsp. griseus NBRC 13350	grisemycin	RiPP
BGC0000273	Intraclusteric	Streptomyces steffisburgensis	steffimycin	Polyketide-Saccharide
BGC0000059	Intraclusteric	Streptomyces avermitilis MA-4680 = NBRC 14893	filipin	Polyketide
BGC0001083	Intraclusteric	Streptomyces sp. CNH189	merochlorin	Polyketide-Terpene
BGC0000609	Intraclusteric	Nocardia sp. ATCC 202099	nocathiacin	RiPP
BGC0000952	Intraclusteric	Streptomyces pristinaespiralis	pristinamycin	NRP-Polyketide
BGC0000133	Intraclusteric	Amycolatopsis orientalis	quartromicin	Polyketide
BGC0001073	Intraclusteric	Micromonospora sp. TP-A0468	kosinostatin	NRP-Polyketide
BGC0000315	Intraclusteric	Streptomyces coelicolor A3(2)	calcium-dependent antibiotic	NRP
BGC0000123	Intraclusteric	Streptomyces sp. HK803	phoslactomycin B	Polyketide
BGC0000242	Intraclusteric	Streptomyces tendae	lysolipin	Polyketide
BGC0000221	Intraclusteric	uncultured soil bacterium V167	erdacin	Polyketide
BGC0001798	Intraclusteric	Streptomyces sp.	tetrapetalone A-tetrapetalone B-tetrapetalone C-tetrapetalone D	Polyketide
BGC0000889	Intraclusteric	Streptomyces sp. WK-5344	bagremycin	Other
BGC0000191	Intraclusteric	Streptomyces galilaeus	aclacinomycin	Polyketide
BGC0000192	Intraclusteric	Streptomyces galilaeus	aclacinomycin	Polyketide
BGC0001370	Intraclusteric	Streptomyces rochei	lipopeptide 8D1-1-lipopeptide 8D1-2	NRP
BGC0001693	Intraclusteric	Micromonospora echinospora	nenestatin	Polyketide
BGC0001116	Intraclusteric	Streptomyces virginiae	virginiamycin	NRP-Polyketide
BGC0000319	Intraclusteric	Streptomyces clavuligerus ATCC 27064	cephamycin C	NRP
BGC0000662	Intraclusteric	Streptomyces griseus subsp. griseus NBRC 13350	grixazone	Terpene
BGC0000625	Intraclusteric	Streptomyces olivoviridis	thioviridamide	RiPP
BGC0001803	Intraclusteric	Streptomyces olivoviridis	thioviridamide	RiPP
BGC0001444	Intraclusteric	Streptomyces sp. NTK 937	caboxamycin	Other
BGC0001063	Intraclusteric	Streptomyces coelicolor A3(2)	undecylprodigiosin	NRP-Polyketide
BGC0000238	Intraclusteric	Streptomyces rishiriensis	lactonamycin	Polyketide
BGC0000224	Intraclusteric	Streptomyces griseus	fredericamycin	Polyketide
BGC0001368	Intraclusteric	Streptomyces sp. NRRL F-4474	tambromycin	NRP
BGC0000212	Intraclusteric	Streptomyces sp. SPB74	cinerubin B	Polyketide
BGC0001074	Intraclusteric	Streptomyces olindensis	cosmomycin D	Polyketide-Saccharide
BGC0001694	Intraclusteric	Streptomyces koyangensis	meoabyssomicin-abyssomicin	Polyketide
BGC0000654	Intraclusteric	Streptomyces sp. Tu6071	phenalinolactone	Saccharide-Terpene
BGC0000915	Intraclusteric	Streptomyces lavendulae	mitomycin	Other
BGC0000195	Intraclusteric	Streptomyces sp. CM020	alnumycin	Polyketide
BGC0000257	Intraclusteric	Streptomyces griseoviridis	prodigiosin	Polyketide
BGC0000238	Intraclusteric	Streptomyces rishiriensis	lactonamycin	Polyketide
BGC0001558	Intraclusteric	Streptomyces sp. CNT302	cosmomycin C-cosmomycin D	Polyketide
BGC0001083	Intraclusteric	Streptomyces sp. CNH189	merochlorin	Polyketide-Terpene
BGC0000333	Intraclusteric	Salinispora arenicola CNS-205	cyclomarin	NRP
BGC0000241	Intraclusteric	Salinispora tropica CNB-440	lomaiviticin	Polyketide-Saccharide
BGC0001568	Intraclusteric	Streptomyces sp. SCSIO 1666	cytorhodin	Polyketide
BGC0000213	Intraclusteric	Streptomyces aureus	colabomycin	Polyketide
BGC0001061	Intraclusteric	Streptomyces diastatochromogenes	polyketomycin	Polyketide-Saccharide
BGC0001500	Intraclusteric	Actinoallomurus sp. ID145698	allocyclinone	Polyketide
BGC0001719	Intraclusteric	Streptomyces olivaceus	olimycin A-olimycin B	Polyketide
BGC0000226	Intraclusteric	Streptomyces griseoflavus	gilvocarcin	Polyketide
BGC0000609	Intraclusteric	Nocardia sp. ATCC 202099	nocathiacin	RiPP
BGC0001179	Intraclusteric	Streptomyces bottropensis	rishirilide B	Polyketide
BGC0000187	Intraclusteric	Streptomyces nodosus subsp. asukaensis	asukamycin	Polyketide
BGC0000210	Intraclusteric	Streptomyces griseus subsp. griseus	chromomycin A3	Polyketide-Saccharide
BGC0001666	Intraclusteric	Micromonospora sp. HK160111	microansamycin	Polyketide
BGC0000269	Intraclusteric	Streptomyces sp. SF2575	SF2575	Other-Polyketide-Saccharide
BGC0000429	Intraclusteric	Streptomyces sp. Acta 2897	skyllamycin	NRP
BGC0000209	Intraclusteric	Streptomyces aureofaciens	chlortetracycline	Polyketide
BGC0001690	Intraclusteric	Streptomyces gilvosporeus	natamycin	Polyketide
BGC0000230	Intraclusteric	Streptomyces sp. JP95	griseorhodin	Polyketide
BGC0001368	Intraclusteric	Streptomyces sp. NRRL F-4474	tambromycin	NRP
BGC0001622	Intraclusteric	Streptomyces sp.	isatropolone A-isotropolone B-isotropolone C	Polyketide
BGC0000108	Intraclusteric	Streptomyces chattanoogensis	natamycin	Polyketide
BGC0001295	Intraclusteric	Streptomyces cremeus	cremeomycin	Other
BGC0001762	Intraclusteric	Streptomyces sp. KIB-H033	rubrolone A-rubrolone B	Alkaloid
BGC0001294	Intraclusteric	Streptomyces sp. MBT28	7-prenylisatin	Other
BGC0000238	Intraclusteric	Streptomyces rishiriensis	lactonamycin	Polyketide
BGC0001675	Intraclusteric	Streptomyces griseoruber	murayaquinone	Polyketide
BGC0001409	Intraclusteric	Streptomyces minoensis	dutomycin	Polyketide
BGC0000240	Intraclusteric	Salinispora pacifica	lomaiviticin	Polyketide-Saccharide
BGC0001801	Intraclusteric	Streptomyces venezuelae ATCC 10712	thiazostatin-watasemycin A-watasemycin B-2-hydroxyphenylthiazoline enantiopyochelin-isopyochelin	NRP
BGC0000227	Intraclusteric	Streptomyces violaceoruber	granaticin	Polyketide
BGC0001382	Intraclusteric	Streptomyces variabilis	svaricin	NRP-Polyketide
BGC0000001	Intraclusteric	Verrucosispora maris AB-18-032	abyssomicin	Polyketide
BGC0000199	Intraclusteric	uncultured bacterium	arimetamycin	Polyketide-Saccharide
BGC0000225	Intraclusteric	Streptomyces roseofulvus	frenolicin	Polyketide
BGC0000266	Intraclusteric	Streptomyces collinus	rubromycin	Polyketide
BGC0000091	Intraclusteric	Streptomyces sp. CNQ-617	marineosin	Polyketide
BGC0001623	Intraclusteric	Streptomyces sp. MSC090213JE08	ishigamide	NRP-Polyketide
BGC0000233	Intraclusteric	Streptomyces griseoruber	hedamycin	Polyketide
BGC0000021	Intraclusteric	Nocardiopsis sp. FU40	apoptolidin	Polyketide
BGC0000841	Intraclusteric	Streptomyces clavuligerus ATCC 27064	alanylclavam	Other
BGC0001503	Intraclusteric	Amycolatopsis sp.	amycolamycin A-amycolamycin B	Polyketide
BGC0000250	Intraclusteric	Streptomyces nogalater	nogalamycin	Polyketide-Saccharide
BGC0001169	Intraclusteric	Streptomyces sp. SCSIO 03032	piericidin A1	Polyketide
BGC0000119	Intraclusteric	Streptomyces pactum	pactamycin	Other-Polyketide-Saccharide
BGC0000081	Intraclusteric	Streptoalloteichus sp. ATCC 53650	kedarcidin	Polyketide
BGC0000021	Intraclusteric	Nocardiopsis sp. FU40	apoptolidin	Polyketide
BGC0000175	Intraclusteric	Streptomyces sp. YIM 56141	cycloheximide-actiphenol	Polyketide
BGC0000150	Intraclusteric	Salinispora tropica CNB-440	sporolide	NRP-Polyketide
BGC0000177	Intraclusteric	Streptomyces platensis subsp. rosaceus	dorrigocin-migrastatin	Polyketide
BGC0000414	Intraclusteric	Streptomyces melanovinaceus	quinocarcin	NRP
BGC0000394	Intraclusteric	Streptomyces lusitanus	naphthyridinomycin	NRP
BGC0001764	Intraclusteric	Streptomyces sp. SoC090715LN-17	s56-p1	NRP
BGC0001232	Intraclusteric	Kitasatospora sp. MBT66	leucanicidin	Polyketide
BGC0001387	Intraclusteric	Streptomyces calvus	nucleocidin	Other
BGC0001348	Intraclusteric	Streptomyces varsoviensis	JBIR-100	Polyketide
BGC0001439	Intraclusteric	Streptomyces sp. CS113	cervimycin	Polyketide-Saccharide
BGC0000340	Intraclusteric	Streptomyces sp. LZ35	echosides	NRP
BGC0000197	Intraclusteric	Streptomyces echinatus	aranciamycin	Polyketide-Saccharide
BGC0000197	Intraclusteric	Streptomyces echinatus	aranciamycin	Polyketide-Saccharide
BGC0000028	Intraclusteric	Streptomyces lohii	bafilomycin	Polyketide
BGC0000124	Intraclusteric	Streptomyces piomogenus	piericidin A1	Polyketide
BGC0000024	Intraclusteric	Streptomyces thioluteus	aureothin	Polyketide
BGC0000459	Intraclusteric	Streptomyces griseoviridis	griseoviridin-viridogrisein	NRP-Polyketide
BGC0000247	Intraclusteric	Streptomyces argillaceus	mithramycin	Polyketide-Saccharide
BGC0000503	Intraclusteric	Streptomyces cinnamoneus	cinnamycin	RiPP
BGC0000439	Intraclusteric	Saccharomonospora sp. CNQ490	taromycin	NRP
BGC0001117	Intraclusteric	Streptomyces himastatinicus ATCC 53653	himastatin	NRP
BGC0000001	Intraclusteric	Verrucosispora maris AB-18-032	abyssomicin	Polyketide
BGC0001177	Intraclusteric	Streptomyces bottropensis	mensacaricin	Polyketide
BGC0001036	Intraclusteric	Streptomyces sp. MK498-98F14	polyoxypeptin	NRP-Polyketide
BGC0001292	Intraclusteric	Streptomyces sp. NRRL 12068	A33853	Other
BGC0000877	Intraclusteric	Streptomyces cacaoi subsp. asoensis	polyoxin	Other
BGC0001038	Intraclusteric	Nonomuraea spiralis	pyralomicin	NRP-Polyketide
BGC0001622	Intraclusteric	Streptomyces sp.	isatropolone A-isotropolone B-isotropolone C	Polyketide
BGC0000274	Intraclusteric	uncultured bacterium	tetarimycin	Polyketide
BGC0001179	Intraclusteric	Streptomyces bottropensis	rishirilide B	Polyketide
BGC0001719	Intraclusteric	Streptomyces olivaceus	olimycin A-olimycin B	Polyketide
BGC0001151	Intraclusteric	Streptomyces antibioticus	clavams	Other
BGC0000021	Intraclusteric	Nocardiopsis sp. FU40	apoptolidin	Polyketide
BGC0001660	Intraclusteric	Marinactinospora thermotolerans	mathermycin	RiPP
BGC0001065	Intraclusteric	Streptomyces chromofuscus	herboxidiene	Polyketide
BGC0001676	Intraclusteric	Streptomyces sp. FXJ1.235	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	Alkaloid
BGC0000238	Intraclusteric	Streptomyces rishiriensis	lactonamycin	Polyketide
BGC0001448	Intraclusteric	uncultured bacterium	malacidin	NRP
BGC0000082	Intraclusteric	Actinomadura kijaniata	kijanimicin	Polyketide
BGC0000040	Intraclusteric	Streptomyces neyagawaensis	concanamycin A	Polyketide
BGC0001004	Intraclusteric	Streptomyces sp. SCSIO 01127	lobophorin	Polyketide
BGC0001183	Intraclusteric	Streptomyces sp. FXJ7.023	lobophorin	Polyketide
BGC0000877	Intraclusteric	Streptomyces cacaoi subsp. asoensis	polyoxin	Other
BGC0001719	Intraclusteric	Streptomyces olivaceus	olimycin A-olimycin B	Polyketide
BGC0001061	Intraclusteric	Streptomyces diastatochromogenes	polyketomycin	Polyketide-Saccharide
BGC0000395	Intraclusteric	Nocardia uniformis subsp. tsuyamanensis	nocardicin A	NRP
BGC0001409	Intraclusteric	Streptomyces minoensis	dutomycin	Polyketide
BGC0001179	Intraclusteric	Streptomyces bottropensis	rishirilide B	Polyketide
BGC0000162	Intraclusteric	Micromonospora chalcea	tetrocarcin A	Polyketide
BGC0001106	Intraclusteric	Streptomyces albus	oxazolomycin	NRP-Polyketide
BGC0001742	Intraclusteric	Candidatus Streptomyces philanthi bv. triangulum	piericidin A1	Polyketide
BGC0001433	Intraclusteric	Streptomyces argillaceus	argimycin P	Polyketide
BGC0000822	Intraclusteric	Lechevalieria aerocolonigenes	rebeccamycin	Alkaloid
BGC0000821	Intraclusteric	Lechevalieria aerocolonigenes	rebeccamycin	Other
BGC0001060	Intraclusteric	Micromonospora chersina	dynemicin	Polyketide
BGC0001060	Intraclusteric	Micromonospora chersina	dynemicin	Polyketide
BGC0000625	Intraclusteric	Streptomyces olivoviridis	thioviridamide	RiPP
BGC0001803	Intraclusteric	Streptomyces olivoviridis	thioviridamide	RiPP
BGC0000843	Intraclusteric	Streptomyces clavuligerus ATCC 27064	clavams	Other
BGC0001213	Intraclusteric	Streptomyces sp. Tu 6176	nataxazole	Polyketide
BGC0000596	Intraclusteric	Streptomyces lividans TK24	SLI-2138	RiPP
BGC0000595	Intraclusteric	Streptomyces coelicolor A3(2)	SCO-2138	RiPP
BGC0001213	Intraclusteric	Streptomyces sp. Tu 6176	nataxazole	Polyketide
BGC0000033	Intraclusteric	Micromonospora echinospora	calicheamicin	Polyketide
BGC0000376	Intraclusteric	Streptomyces sp. Sp080513GE-23	JBIR-34,JBIR-35	NRP
BGC0001292	Intraclusteric	Streptomyces sp. NRRL 12068	A33853	Other
BGC0001368	Intraclusteric	Streptomyces sp. NRRL F-4474	tambromycin	NRP
BGC0000274	Intraclusteric	uncultured bacterium	tetarimycin	Polyketide
BGC0001643	Intraclusteric	Streptomyces sp.	lactomycins A-C	Polyketide
BGC0000918	Intraclusteric	Streptomyces avermitilis	ochronotic pigment	Other
BGC0001765	Intraclusteric	Agrobacterium tumefaciens	salecan	Saccharide
BGC0000603	Intraclusteric	Streptomyces hygroscopicus	cyclothiazomycin	RiPP
BGC0000794	Intraclusteric	Geobacillus stearothermophilus	S-layer glycan	Saccharide
BGC0000610	Intraclusteric	Streptomyces actuosus	nosiheptide	RiPP
BGC0000703	Intraclusteric	Streptomyces kanamyceticus	kanamycin	Saccharide
BGC0001053	Intraclusteric	Angiococcus disciformis	tubulysin	NRP-Polyketide
