fig|6666666.540612.peg.5203	no_cluster
fig|6666666.540621.peg.2434	no_cluster
BGC0001055	cluster	Escherichia coli	yersiniabactin	NRP-Polyketide
BGC0000628	cluster	Lactobacillus gasseri JV-V03	lactocillin	RiPP
BGC0000106	cluster	Streptomyces sp. CS	naphthomycin	Polyketide
BGC0000797	cluster	Sphingomonas sp. S88	sphingan polysaccharide	Saccharide
BGC0000915	cluster	Streptomyces lavendulae	mitomycin	Other
BGC0001358	cluster	Purpureocillium lilacinum	leucinostatins	Polyketide
BGC0000225	cluster	Streptomyces roseofulvus	frenolicin	Polyketide
BGC0000516	cluster	Geobacillus sp. G11MC16	geobacillin II	RiPP
BGC0001178	cluster	Actinoplanes sp. ATCC 53533	UK-68,597	NRP
BGC0001543	cluster	Hahella chejuensis	chejuenolide A-chejuenolide B	Polyketide
BGC0000768	cluster	Sphingomonas elodea ATCC 31461	gellan polysaccharide	Saccharide
BGC0000336	cluster	Streptomyces roseosporus NRRL 11379	daptomycin	NRP
BGC0001138	cluster	Marinactinospora thermotolerans	A201A	Other
BGC0001476	cluster	Streptomyces sp.	pseudouridimycin	Other
BGC0000696	cluster	Micromonospora echinospora	gentamicin	Saccharide
