Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|6666666.540620.peg.6810	Yes	Streptomyces_sp._CC226D	NRPS-like	3	2	BD-12 | NRP	7
fig|6666666.540620.peg.8465	Yes	Streptomyces_sp._CC226D	lanthipeptide	39	1	carbapenem MM4550 | Other:Non-NRP beta-lactam	6
fig|6666666.540621.peg.3598	Yes	Nocardiopsis_sp._CC223A	terpene	37	1	murayaquinone | Polyketide	10
fig|6666666.540621.peg.3909	Yes	Nocardiopsis_sp._CC223A	phosphonate	40	1	rhizocticin A | Other	16
fig|6666666.540621.peg.5404	Yes	Nocardiopsis_sp._CC223A	lanthidin	66	1	caniferolide A | caniferolide B | caniferolide C | caniferolide D | Polyketide:Modular type I	6
fig|6666666.540754.peg.2515	Yes	Streptomyces_sp._CC224E	T1PKS	18	1	0	0
fig|6666666.540754.peg.2647	Yes	Streptomyces_sp._CC224E	T1PKS	19	1	arginomycin | Other	10
fig|6666666.540754.peg.3134	Yes	Streptomyces_sp._CC224E	NRPS	2	2	scleric acid | NRP	29
fig|6666666.540754.peg.5047	Yes	Streptomyces_sp._CC224E	NRPS	30	1	paulomycin | Other	7
fig|6666666.540754.peg.527	Yes	Streptomyces_sp._CC224E	NRPS-like	1	3	formicamycins A-M | Polyketide	20
fig|6666666.540754.peg.5711	Yes	Streptomyces_sp._CC224E	T1PKS	38	1	7-deoxypactamycin | Polyketide:Iterative type I + Saccharide:Hybrid/tailoring	13
fig|6666666.540754.peg.7125	Yes	Streptomyces_sp._CC224E	angucycline	50	1	cosmomycin D | Saccharide + Polyketide	12
fig|6666666.540754.peg.7366	Yes	Streptomyces_sp._CC224E	terpene	6	1	2-methylisoborneol | Terpene	100
fig|6666666.540754.peg.7725	Yes	Streptomyces_sp._CC224E	indole	7	2	lazarimide A | lazarimide B | lazarimide C | Alkaloid	16
fig|6666666.563199.peg.10236	Yes	Streptomyces_sp._CC208B	thiopeptide	1	15	thiomuracin | RiPP:Thiopeptide	16
fig|6666666.563199.peg.1601	Yes	Streptomyces_sp._CC208B	NRPS	1	7	holomycin | NRP	53
fig|6666666.563199.peg.5034	Yes	Streptomyces_sp._CC208B	NRPS	1	11	A-47934 | NRP:Glycopeptide	35
fig|6666666.563200.peg.31	Yes	Streptomyces_sp._CC216B	terpene	101	1	isorenieratene | Terpene	87
fig|6666666.563200.peg.4154	Yes	Streptomyces_sp._CC216B	T1PKS	3	1	leinamycin | NRP + Polyketide:Modular type I + Polyketide:Trans-AT type I	4
fig|6666666.563200.peg.4893	Yes	Streptomyces_sp._CC216B	lanthipeptide	49	1	5-isoprenylindole-3-carboxylate ?-D-glycosyl ester | Other	14
fig|6666666.563200.peg.4895	Yes	Streptomyces_sp._CC216B	lanthipeptide	49	1	5-isoprenylindole-3-carboxylate ?-D-glycosyl ester | Other	14
fig|6666666.563200.peg.5362	Yes	Streptomyces_sp._CC216B	lanthipeptide	54	1	0	0
fig|6666666.563200.peg.5479	Yes	Streptomyces_sp._CC216B	lassopeptide	56	1	keywimysin | RiPP	100
fig|6666666.563200.peg.6109	Yes	Streptomyces_sp._CC216B	ladderane	66	1	atratumycin | NRP	18
fig|6666666.563200.peg.6163	Yes	Streptomyces_sp._CC216B	lanthipeptide	67	1	carbapenem MM4550 | Other:Non NRP beta-lactam	6
fig|6666666.563200.peg.7481	Yes	Streptomyces_sp._CC216B	NRPS	96	1	friulimicin A | friulimicin B | friulimicin C | friulimicin D | NRP	12
fig|6666666.563201.peg.4544	Yes	Streptomyces_sp._CC216C	lanthipeptide	35	1	chalcomycin A | Polyketide	9
fig|6666666.563201.peg.4546	Yes	Streptomyces_sp._CC216C	lanthipeptide	35	1	chalcomycin A | Polyketide	9
fig|6666666.563201.peg.586	Yes	Streptomyces_sp._CC216C	lanthipeptide	118	1	0	0
fig|6666666.563201.peg.90	Yes	Streptomyces_sp._CC216C	lassopeptide	1	1	keywimysin | RiPP	100
fig|6666666.563202.peg.184	Yes	Streptomyces_sp._CC224B	T1PKS	106	1	ECO-02301 | Polyketide	42
fig|6666666.563202.peg.1964	Yes	Streptomyces_sp._CC224B	T1PKS	15	1	incednine | Polyketide	6
fig|6666666.563202.peg.2207	Yes	Streptomyces_sp._CC224B	NRPS-like	16	1	jawsamycin | NRP + Polyketide	30
fig|6666666.563202.peg.2245	Yes	Streptomyces_sp._CC224B	NRPS-like	16	1	jawsamycin | NRP + Polyketide	30
fig|6666666.563202.peg.2260	Yes	Streptomyces_sp._CC224B	NRPS-like	16	1	jawsamycin | NRP + Polyketide	30
fig|6666666.563202.peg.2659	Yes	Streptomyces_sp._CC224B	terpene	18	1	ikarugamycin | NRP + Polyketile:Iterative type I	12
fig|6666666.563202.peg.2687	Yes	Streptomyces_sp._CC224B	terpene	18	1	ikarugamycin | NRP + Polyketile:Iterative type I	12
fig|6666666.563202.peg.2704	Yes	Streptomyces_sp._CC224B	terpene	18	1	ikarugamycin | NRP + Polyketile:Iterative type I	12
fig|6666666.563202.peg.2744	Yes	Streptomyces_sp._CC224B	lassopeptide	192	1	SSV-2083 | RiPP:Lanthipeptide	54
fig|6666666.563202.peg.2905	Yes	Streptomyces_sp._CC224B	T1PKS	1	1	citrulassin D | RiPP	100
fig|6666666.563202.peg.5778	Yes	Streptomyces_sp._CC224B	NRPS	48	1	"(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid | NRP"	24
fig|6666666.563202.peg.5794	Yes	Streptomyces_sp._CC224B	NRPS	48	1	"(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid | NRP"	24
fig|6666666.563202.peg.5853	Yes	Streptomyces_sp._CC224B	NRPS	49	1	polyoxypeptin | NRP + Polyketide	8
fig|6666666.563202.peg.6034	Yes	Streptomyces_sp._CC224B	NRPS	50	1	himastatin | NRP	52
fig|6666666.563202.peg.7048	Yes	Streptomyces_sp._CC224B	NRPS	65	1	butyrolactol A | Polyketide	20
fig|6666666.563202.peg.7353	Yes	Streptomyces_sp._CC224B	NRPS	6	1	oxalomycin | NRP + Polyketide	9
fig|6666666.563202.peg.8023	Yes	Streptomyces_sp._CC224B	T1PKS	82	1	marineosin A | marineosin B | Polyketide	77
fig|6666666.563202.peg.8344	Yes	Streptomyces_sp._CC224B	NRPS	8	1	friulimicin A | friulimicin B | friulimicin C | friulamicin D | NRP	24
fig|6666666.582834.peg.2414	Yes	Streptomyces_sp._CC213Dhyb	NRPS	22	1	sarpeptin A | sarpeptin B | NRP	83
fig|6666666.582834.peg.242	Yes	Streptomyces_sp._CC213Dhyb	NRPS	10	2	collismycin A | NRP + Polyketide: Modular type I	85
fig|6666666.582834.peg.8049	Yes	Streptomyces_sp._CC213Dhyb	NRPS	6	1	enduracidin | NRP	8
fig|6666666.582862.peg.3032	Yes	Streptomyces_sp._CC219Ahyb	melanin	182	1	istamycin | Saccharide	2
fig|6666666.582862.peg.3062	Yes	Streptomyces_sp._CC219Ahyb	terpene	184	1	0	0
fig|6666666.582862.peg.4467	Yes	Streptomyces_sp._CC219Ahyb	NRPS	225	1	ulleungmycin | NRP	13
fig|6666666.582862.peg.4474	Yes	Streptomyces_sp._CC219Ahyb	NRPS	225	1	ulleungmycin | NRP	13
fig|6666666.582862.peg.7461	Yes	Streptomyces_sp._CC219Ahyb	NRPS	316	1	thiolutin | NRP	16
fig|6666666.584549.peg.11952	Yes	Streptomyces_sp._CC213Dhybcontrimo	NRPS	76	1	sarpeptin A | sarpeptin B | NRP	83
fig|6666666.584549.peg.6725	Yes	Streptomyces_sp._CC213Dhybcontrimo	NRPS	42	1	collismycin A | NRP + Polyketide: Modular type I	85
fig|6666666.584549.peg.9789	Yes	Streptomyces_sp._CC213Dhybcontrimo	T1PKS	6	1	leinamycin | NRP + Polyketide:Modular type I + Polyketide:Trans-AT type I	4
fig|6666666.584551.peg.1037	Yes	Streptomyces_sp._CC219Ahybcontrimo	NRPS	156	1	desotamide | NRP	27
fig|6666666.584551.peg.1045	Yes	Streptomyces_sp._CC219Ahybcontrimo	NRPS	156	1	desotamide | NRP	27
fig|6666666.584551.peg.7070	Yes	Streptomyces_sp._CC219Ahybcontrimo	melanin	37	1	istamycin | Saccharide	2
fig|6666666.584551.peg.7125	Yes	Streptomyces_sp._CC219Ahybcontrimo	NRPS	41	1	thiolutin | NRP	16
fig|6666666.590938.peg.1866	Yes	Streptomyces_rochei_CC71	lanthipeptide	18	1	catenulipeptin | RiPP:Lanthipeptide	60
fig|6666666.590938.peg.4998	Yes	Streptomyces_rochei_CC71	NRPS	430	1	lipopeptide 8D1-1 | lipopeptide 8D1-2 | NRP	18
fig|6666666.590938.peg.5619	Yes	Streptomyces_rochei_CC71	NRPS	50	1	levorin A3 | C06690 | FR-008-III | candicidin A | UNII-AP5PEF5W7U | Polyketide	90
fig|6666666.590938.peg.5620	Yes	Streptomyces_rochei_CC71	NRPS	50	1	levorin A3 | C06690 | FR-008-III | candicidin A | UNII-AP5PEF5W7U | Polyketide	90
fig|6666666.590938.peg.5623	Yes	Streptomyces_rochei_CC71	NRPS	50	1	levorin A3 | C06690 | FR-008-III | candicidin A | UNII-AP5PEF5W7U | Polyketide	90
fig|6666666.590938.peg.5624	Yes	Streptomyces_rochei_CC71	NRPS	50	1	levorin A3 | C06690 | FR-008-III | candicidin A | UNII-AP5PEF5W7U | Polyketide	90
fig|6666666.590938.peg.5625	Yes	Streptomyces_rochei_CC71	NRPS	50	1	levorin A3 | C06690 | FR-008-III | candicidin A | UNII-AP5PEF5W7U | Polyketide	90
fig|6666666.590938.peg.5626	Yes	Streptomyces_rochei_CC71	NRPS	50	1	levorin A3 | C06690 | FR-008-III | candicidin A | UNII-AP5PEF5W7U | Polyketide	90
fig|6666666.590938.peg.6418	Yes	Streptomyces_rochei_CC71	lanthipeptide	6	1	SapB | RiPP:Lanthipeptide	100
fig|6666666.590939.peg.2961	Yes	Streptomyces_rochei_CC48	T1PKS	267	1	levorin A3 | C06690 | FR-008-III | candicidin A | UNII-AP5PEF5W7U | Polyketide	76
fig|6666666.590939.peg.5352	Yes	Streptomyces_rochei_CC48	NRPS	515	1	CDA1b | CDA2a | CDA2b | CDA3a | CDA3b | CDA4a | CDA4b | NRP:Ca+-dependent lipopeptide	20
fig|6666666.590939.peg.5389	Yes	Streptomyces_rochei_CC48	lanthipeptide	51	1	SapB | RiPP:Lanthipeptide	100
fig|6666666.590939.peg.6809	Yes	Streptomyces_rochei_CC48	NRPS	75	1	antimycin | NRP + Polyketide	31
fig|6666666.590939.peg.6810	Yes	Streptomyces_rochei_CC48	NRPS	75	1	antimycin | NRP + Polyketide	31
fig|6666666.590939.peg.6813	Yes	Streptomyces_rochei_CC48	NRPS	75	1	antimycin | NRP + Polyketide	31
fig|6666666.590939.peg.6814	Yes	Streptomyces_rochei_CC48	NRPS	75	1	antimycin | NRP + Polyketide	31
fig|6666666.590939.peg.6815	Yes	Streptomyces_rochei_CC48	NRPS	75	1	antimycin | NRP + Polyketide	31
fig|6666666.590939.peg.7194	Yes	Streptomyces_rochei_CC48	lanthipeptide	88	1	catenulipeptin | RiPP:Lanthipeptide	60
fig|6666666.590940.peg.2562	Yes	Streptomyces_rochei_CC36	T1PKS	230	1	antimycin | NRP + Polyketide	93
fig|6666666.590940.peg.2563	Yes	Streptomyces_rochei_CC36	T1PKS	230	1	antimycin | NRP + Polyketide	93
fig|6666666.590940.peg.2564	Yes	Streptomyces_rochei_CC36	T1PKS	230	1	antimycin | NRP + Polyketide	93
fig|6666666.590940.peg.2565	Yes	Streptomyces_rochei_CC36	T1PKS	230	1	antimycin | NRP + Polyketide	93
fig|6666666.590940.peg.2569	Yes	Streptomyces_rochei_CC36	T1PKS	230	1	antimycin | NRP + Polyketide	93
fig|6666666.590940.peg.2570	Yes	Streptomyces_rochei_CC36	T1PKS	230	1	antimycin | NRP + Polyketide	93
fig|6666666.590940.peg.299	Yes	Streptomyces_rochei_CC36	lanthidin	116	2	0	0
fig|6666666.590940.peg.301	Yes	Streptomyces_rochei_CC36	lanthidin	116	2	0	0
fig|6666666.590940.peg.314	Yes	Streptomyces_rochei_CC36	lanthidin	116	2	0	0
fig|6666666.590940.peg.315	Yes	Streptomyces_rochei_CC36	lanthidin	116	2	0	0
fig|6666666.590940.peg.316	Yes	Streptomyces_rochei_CC36	lanthidin	116	2	0	0
fig|6666666.590940.peg.392	Yes	Streptomyces_rochei_CC36	lanthipeptide	116	3	catenulipeptin | RiPP:Lanthipeptide	0.6
fig|6666666.590940.peg.3965	Yes	Streptomyces_rochei_CC36	lanthipeptide	31	4	SapB | RiPP:Lanthipeptide	100
fig|6666666.590940.peg.7100	Yes	Streptomyces_rochei_CC36	NRPS	99	1	CDA1b | CDA2a | CDA2b | CDA3a | CDA3b | CDA4a | CDA4b | NRP:Ca+-dependent lipopeptide	47
fig|6666666.590941.peg.1105	Yes	Streptomyces_lentzea_CC55	PKS-like	19	2	fortimicin | Saccharide	6
fig|6666666.590941.peg.1311	Yes	Streptomyces_lentzea_CC55	lanthipeptide	19	3	0	0
fig|6666666.590941.peg.1319	Yes	Streptomyces_lentzea_CC55	lanthipeptide	19	3	0	0
fig|6666666.590941.peg.3277	Yes	Streptomyces_lentzea_CC55	NRPS	26	1	0	0
fig|6666666.590941.peg.3383	Yes	Streptomyces_lentzea_CC55	NRPS-like	27	1	indigoidine | Saccharide	6
fig|6666666.590941.peg.4146	Yes	Streptomyces_lentzea_CC55	NRPS-like	36	1	0	0
fig|6666666.590941.peg.4148	Yes	Streptomyces_lentzea_CC55	NRPS-like	36	1	0	0
fig|6666666.590941.peg.4157	Yes	Streptomyces_lentzea_CC55	NRPS-like	36	1	0	0
fig|6666666.590941.peg.5487	Yes	Streptomyces_lentzea_CC55	anthracycline	53	1	LL-D49194?1 (LLD) | Polyketide	32
fig|6666666.590941.peg.5503	Yes	Streptomyces_lentzea_CC55	anthracycline	53	1	LL-D49194?1 (LLD) | Polyketide	32
fig|6666666.590941.peg.5707	Yes	Streptomyces_lentzea_CC55	T1PKS	55	1	vancosamide | Other	100
fig|6666666.590941.peg.5712	Yes	Streptomyces_lentzea_CC55	T1PKS	55	1	vancosamide | Other	100
fig|6666666.590941.peg.5729	Yes	Streptomyces_lentzea_CC55	T1PKS	55	1	vancosamide | Other	100
fig|6666666.590941.peg.6012	Yes	Streptomyces_lentzea_CC55	NRPS	62	3	BD-12 | NRP	0.07
fig|6666666.590941.peg.6185	Yes	Streptomyces_lentzea_CC55	PKS-like	64	1	xantholipin | Poliketide	12
fig|6666666.590941.peg.6187	Yes	Streptomyces_lentzea_CC55	PKS-like	64	1	xantholipin | Poliketide	12
fig|6666666.590941.peg.6365	Yes	Streptomyces_lentzea_CC55	T1PKS	64	2	4-Z-annimycin | Polyketide	33
fig|6666666.590941.peg.6548	Yes	Streptomyces_lentzea_CC55	T1PKS	68	1	pimaricin | Polyketide	29
fig|6666666.590941.peg.6709	Yes	Streptomyces_lentzea_CC55	NRPS	68	3	coelibactin | NRP	36
fig|6666666.590941.peg.7007	Yes	Streptomyces_lentzea_CC55	arylpolyene	68	4	virginiamycin S1 | NRP + Polyketide	22
fig|6666666.590941.peg.7047	Yes	Streptomyces_lentzea_CC55	arylpolyene	68	4	virginiamycin S1 | NRP + Polyketide	22
fig|6666666.590941.peg.7535	Yes	Streptomyces_lentzea_CC55	siderophore	8	1	0	0
fig|6666666.687569.peg.1138	Yes	Streptomyces_sp._CC228A	terpene	149	1	0	0
fig|6666666.687569.peg.1544	Yes	Streptomyces_sp._CC228A	PKS-like	190	1	0	0
fig|6666666.691810.peg.2116	Yes	Streptomyces_sp._CC219CV1	NRPS	24	1	malonomycin | NRP + Polyketide	11
BGC0000001_AEK75494	No						
BGC0000002_AHH99945	No						
BGC0000002_AHH99948	No						
BGC0000002_AHH99949	No						
BGC0000002_AHH99950	No						
BGC0000015_AAV37059	No						
BGC0000015_AAV37060	No						
BGC0000015_AAV37061	No						
BGC0000015_AAV37062	No						
BGC0000020_AAM54086	No						
BGC0000026_AAK83172	No						
BGC0000026_AAK83173	No						
BGC0000029_ACO94455	No						
BGC0000032_AEH42478	No						
BGC0000034_AAQ82551	No						
BGC0000034_AAQ82552	No						
BGC0000034_AAQ82553	No						
BGC0000034_AAQ82554	No						
BGC0000035_AAS79478	No						
BGC0000040_AAZ94383	No						
BGC0000042_BAO66545	No						
BGC0000042_BAO66546	No						
BGC0000049_ABB88526	No						
BGC0000049_ABB88527	No						
BGC0000049_ABB88528	No						
BGC0000052_AAX98205	No						
BGC0000053_ctg1_orf4	No						
BGC0000053_ctg1_orf18	No						
BGC0000058_BAJ16474	No						
BGC0000059_BAC68119	No						
BGC0000060_AEC13067	No						
BGC0000061_AAQ82551	No						
BGC0000061_AAQ82552	No						
BGC0000061_AAQ82553	No						
BGC0000061_AAQ82554	No						
BGC0000066_AAO06927	No						
BGC0000066_AAO06930	No						
BGC0000068_ABI93788	No						
BGC0000068_ABI93791	No						
BGC0000074_AAY28234	No						
BGC0000074_AAY28238	No						
BGC0000075_AFV30245	No						
BGC0000078_BAP34706	No						
BGC0000079_ACN69983	No						
BGC0000086_BAG85023	No						
BGC0000087_CAQ64683	No						
BGC0000090_ACF35442	No						
BGC0000091_AHF22844	No						
BGC0000093_ADC45539	No						
BGC0000095_AGI61670	No						
BGC0000095_AGI61673	No						
BGC0000097_ACO94482	No						
BGC0000100_AAO65802	No						
BGC0000105_AAP42850	No						
BGC0000106_ADM46353	No						
BGC0000108_ADX66474	No						
BGC0000109_BAF85834	No						
BGC0000111_BAD38871	No						
BGC0000115_AAF71778	No						
BGC0000115_AAF71779	No						
BGC0000115_AAF71780	No						
BGC0000115_AAF71781	No						
BGC0000116_ABV83232	No						
BGC0000116_ABV83234	No						
BGC0000116_ABV83236	No						
BGC0000116_ABV83238	No						
BGC0000116_ABV83239	No						
BGC0000117_BAB69189	No						
BGC0000117_BAB69190	No						
BGC0000123_AAQ84139	No						
BGC0000123_AAQ84141	No						
BGC0000123_AAQ84162	No						
BGC0000126_BAH02275	No						
BGC0000128_AAY59074	No						
BGC0000133_AFI57028	No						
BGC0000135_BAK64651	No						
BGC0000136_AAS07758	No						
BGC0000137_ABV97175	No						
BGC0000141_CAI94711	No						
BGC0000142_ABP55200	No						
BGC0000142_ABP55203	No						
BGC0000143_ABG02265	No						
BGC0000143_ABG02266	No						
BGC0000143_ABG02267	No						
BGC0000144_AEZ53964	No						
BGC0000145_ABP73639	No						
BGC0000151_CAJ88178	No						
BGC0000151_CAJ88194	No						
BGC0000157_ABI94385	No						
BGC0000158_ABV91302	No						
BGC0000158_ABV91292	No						
BGC0000159_ABW96538	No						
BGC0000159_ABW96530	No						
BGC0000163_ACR50800	No						
BGC0000164_BAE93717	No						
BGC0000164_BAE93719	No						
BGC0000165_ADU85998	No						
BGC0000182_AAK28504	No						
BGC0000186_ABC34138	No						
BGC0000187_ADI58626	No						
BGC0000187_ADI58658	No						
BGC0000195_ACI88882	No						
BGC0000195_ACI88885	No						
BGC0000197_ABL09961	No						
BGC0000200_AHX24716	No						
BGC0000202_ADB02831	No						
BGC0000202_ADB02863	No						
BGC0000209_AEI98644	No						
BGC0000211_CBH32096	No						
BGC0000213_AIL50186	No						
BGC0000216_AFU65910	No						
BGC0000221_ACX83628	No						
BGC0000227_CAA09631	No						
BGC0000235_EHM27498	No						
BGC0000263_CBH32801	No						
BGC0000264_CAE51186	No						
BGC0000273_CAJ42326	No						
BGC0000288_BAJ19074	No						
BGC0000289_CAD91198	No						
BGC0000291_AAZ23059	No						
BGC0000291_AAZ23070	No						
BGC0000305_BAC67533	No						
BGC0000315_CAB38597	No						
BGC0000316_ABR67760	No						
BGC0000323_AHZ34234	No						
BGC0000323_AHZ34237	No						
BGC0000327_CAJ88627	No						
BGC0000329_ABP88722	No						
BGC0000329_ACV88180	No						
BGC0000333_ABW00328	No						
BGC0000341_ABD65938	No						
BGC0000341_ABD65961	No						
BGC0000345_AHB38503	No						
BGC0000354_CAM56776	No						
BGC0000373_EFG10351	No						
BGC0000379_AEF16031	No						
BGC0000388_AAU34214	No						
BGC0000392_ACU36651	No						
BGC0000398_AFH75327	No						
BGC0000398_AFH75333	No						
BGC0000399_AAY91417	No						
BGC0000399_AAY91424	No						
BGC0000406_CAJ14055	No						
BGC0000411_ABW17374	No						
BGC0000411_ABW17380	No						
BGC0000425_AFH75318	No						
BGC0000435_AAO56327	No						
