fig|6666666.737888.peg.885	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.884	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.883	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.882	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.881	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.880	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.879	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.878	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.877	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.876	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.875	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.874	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.8210	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8209	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8208	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8207	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8206	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8205	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8204	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8203	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8202	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8201	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8200	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8199	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8198	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8197	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8196	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8195	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8194	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8193	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8192	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8191	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8190	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8189	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8188	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8187	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8106	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8105	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8104	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8103	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8102	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8101	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8100	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8099	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8098	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8097	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8096	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8095	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8094	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8093	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8092	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8091	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8090	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8089	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8088	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8087	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8086	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8085	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8084	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8083	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8082	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8081	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8080	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8079	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8078	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8077	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8076	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8075	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8074	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8073	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8072	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8071	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8070	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8069	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8068	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8067	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8066	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8065	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8064	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8063	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8062	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.7994	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7993	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7992	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7991	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7990	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7989	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7988	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7987	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7986	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7985	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7984	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7983	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7951	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7950	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7949	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7948	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7947	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7946	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7945	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7944	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7943	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7942	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7941	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7940	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7939	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7938	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7937	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7936	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7935	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7934	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7933	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7932	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7931	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7930	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7929	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7928	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7927	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7926	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7925	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7924	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7923	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7922	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7921	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7920	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7919	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7918	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7917	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7916	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7915	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7914	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7913	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7747	25.1	Streptomyces sp. CC219B	NRPS	NRPS		
fig|6666666.737888.peg.7746	79.1	Streptomyces sp. CC219B	NRPS	NRPS	rhizomide A / rhizomide B / rhizomide C	100
fig|6666666.737888.peg.7745	79.1	Streptomyces sp. CC219B	NRPS	NRPS	rhizomide A / rhizomide B / rhizomide C	100
fig|6666666.737888.peg.7722	41.1	Streptomyces sp. CC219B	NRPS	NRPS		
fig|6666666.737888.peg.7650	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7649	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7648	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7647	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7646	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7645	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7644	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7643	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7642	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7641	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7640	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7639	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7638	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7637	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7636	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7635	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7634	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7633	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7632	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7631	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7630	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7629	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7628	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7627	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7626	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7625	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7624	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7623	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7622	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7621	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7620	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7619	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7618	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7617	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7616	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7615	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7614	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7613	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7612	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7611	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7610	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7522	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7521	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7520	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7519	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7518	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7517	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7516	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7515	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7514	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7513	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7512	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7511	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7510	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7509	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7508	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7507	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7506	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7505	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7504	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7503	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7502	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7501	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7500	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7499	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7498	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7497	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7496	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7495	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7494	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7493	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7492	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7491	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7490	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7489	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7488	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7487	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7486	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7485	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7484	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7483	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
