ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.540615.peg.6768	CuatroCienegas	26.2	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540615.peg.1581	CuatroCienegas	15.1	Nocardia sp. CC216A	bacteriocin	NRPS	isorenieratene	18
fig|6666666.540615.peg.816	CuatroCienegas	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540620.peg.14451	CuatroCienegas	200.1	Streptomyces sp. CC226D	NRPS	NRPS	atratumycin	5
fig|6666666.540620.peg.8892	CuatroCienegas	128.1	Streptomyces sp. CC226D	NRPS	NRPS	nocobactin NA	37
fig|6666666.540620.peg.3061	CuatroCienegas	92.1	Streptomyces sp. CC226D	terpene	terpene		
fig|6666666.540620.peg.6702	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.10409	CuatroCienegas	185.3	Streptomyces sp. CC226D	T3PKS	T3PKS	herboxidiene	6
fig|6666666.540620.peg.11196	CuatroCienegas	194.1	Streptomyces sp. CC226D	NRPS	NRPS	sarpeptin A / sarpeptin B	91
fig|6666666.540620.peg.3536	CuatroCienegas	33.2	Streptomyces sp. CC226D	NRPS	 T1PKS	SGR PTMs	100
fig|6666666.540620.peg.2657	CuatroCienegas	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.4378	CuatroCienegas	29.1	Streptomyces sp. CC226D	NRPS	T1PKS	collismycin A	85
fig|6666666.540620.peg.351	CuatroCienegas	108.1	Streptomyces sp. CC226D	NRPS	NRPS	calicheamicin	4
fig|6666666.540620.peg.13733	CuatroCienegas	105.1	Streptomyces sp. CC226D	NRPS	NRPS	isorenieratene	18
fig|6666666.540620.peg.331	CuatroCienegas	108.1	Streptomyces sp. CC226D	NRPS	NRPS	calicheamicin	4
fig|6666666.540621.peg.4134	CuatroCienegas	93.1	Nocardiopsis sp. CC223A	NRPS-like	NRPS-like		
fig|6666666.540621.peg.4855	CuatroCienegas	173.1	Nocardiopsis sp. CC223A	NRPS	NRPS	amycolamycin A / amycolamycin B	18
fig|6666666.540621.peg.3294	CuatroCienegas	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3909	CuatroCienegas	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540754.peg.6987	CuatroCienegas	8.1	Streptomyces sp. CC224E	other	PKS-like	daptomycin	7
fig|6666666.540754.peg.7146	CuatroCienegas	48.1	Streptomyces sp. CC224E	PKS-like	T2PKS	cosmomycin D	12
fig|1823.7.peg.4277	CuatroCienegas	159.1	Nocardia otitidiscaviarum sp. CC201C	terpene	terpene		
fig|1823.7.peg.5738	CuatroCienegas	172.1	Nocardia otitidiscaviarum sp. CC201C	terpene	terpene		
fig|6666666.563199.peg.10396	CuatroCienegas	1.16	Streptomyces sp. CC208B	terpene	T3PKS	flaviolin	75
fig|6666666.563200.peg.4429	CuatroCienegas	157.1	Streptomyces sp. CC216B	T3PKS	T3PKS	herboxidiene	6
fig|6666666.563200.peg.6479	CuatroCienegas	57.1	Streptomyces sp. CC216B	NRPS	T1PKS	heat-stable antifungal factor	75
fig|6666666.563200.peg.32	CuatroCienegas	63.1	Streptomyces sp. CC216B	terpene	terpene	isorenieratene	87
fig|6666666.563200.peg.5685	CuatroCienegas	85.1	Streptomyces sp. CC216B	NRPS	T1PKS	collismycin A	44
fig|6666666.563201.peg.4300	CuatroCienegas	389.1	Streptomyces sp. CC216C	T3PKS	T3PKS	herboxidiene	6
fig|6666666.563201.peg.1301	CuatroCienegas	638.1	Streptomyces sp. CC216C	NRPS	NRPS	coelichelin	81
fig|6666666.563202.peg.2664	CuatroCienegas	170.1	Streptomyces sp. CC224B	T1PKS	terpene	ikarugamycin	12
fig|6666666.563202.peg.7910	CuatroCienegas	155.1	Streptomyces sp. CC224B	NRPS	NRPS	mirubactin	50
fig|6666666.563202.peg.2049	CuatroCienegas	215.1	Streptomyces sp. CC224B	NRPS	NRPS	WAP-8294A2	20
fig|6666666.563202.peg.4536	CuatroCienegas	30.1	Streptomyces sp. CC224B	terpene	terpene	carotenoid	63
fig|6666666.563202.peg.4923	CuatroCienegas	226.1	Streptomyces sp. CC224B	terpene	terpene	zorbamycin	8
fig|6666666.563202.peg.7554	CuatroCienegas	77.1	Streptomyces sp. CC224B	T3PKS	T3PKS		
fig|6666666.563202.peg.2743	CuatroCienegas	24.1	Streptomyces sp. CC224B	lassopeptide	lassopeptide	SSV-2083	54
fig|6666666.584549.peg.369	CuatroCienegas	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.8095	CuatroCienegas	50.2	Streptomyces sp. CC213Dhybcontrimo	T1PKS	NRPS	SGR PTMs	100
fig|6666666.584549.peg.3900	CuatroCienegas	61.1	Streptomyces sp. CC213Dhybcontrimo	terpene	butyrolactone	isorenieratene	85
fig|6666666.584551.peg.1027	CuatroCienegas	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.590938.peg.5621	CuatroCienegas	33.1	Streptomyces rochei CC152	NRPS	T1PKS	levorin A3 / C06690 / FR-008-III / candicidin A / UNII-AP5PEF5W7U	90
fig|6666666.590939.peg.6811	CuatroCienegas	22.1	Streptomyces rochei CC105	T1PKS	NRPS	antimycin	31
fig|6666666.590940.peg.296	CuatroCienegas	8.2	Streptomyces rochei CC227	lanthidin	lanthidin		
fig|6666666.590940.peg.2568	CuatroCienegas	51.1	Streptomyces rochei CC759	T1PKS	NRPS-like	antimycin	93
fig|6666666.590941.peg.3375	CuatroCienegas	7.1	Streptomyces lentzea CC671	NRPS-like	NRPS-like	indigoidine	6
fig|6666666.590941.peg.6282	CuatroCienegas	6.1	Streptomyces lentzea CC594	NRPS-like	PKS-like	xantholipin	12
fig|6666666.590941.peg.7072	CuatroCienegas	1.4	Streptomyces lentzea CC291	PKS-like	arylpolyene	virginiamycin S1	22
fig|6666666.590941.peg.3300	CuatroCienegas	4.1	Streptomyces lentzea CC442	NRPS	NRPS		
fig|6666666.590941.peg.5920	CuatroCienegas	36.1	Streptomyces lentzea CC1162	betalactone	betalactone	platencin	6
fig|6666666.590941.peg.458	CuatroCienegas	32.2	Streptomyces lentzea CC1055	terpene	terpene	isorenieratene	75
fig|6666666.590941.peg.5461	CuatroCienegas	22.1	Streptomyces lentzea CC925	T2PKS	PKS-like	LL-D49194alpha1 (LLD)	32
fig|6666666.590941.peg.786	CuatroCienegas	49.1	Streptomyces lentzea CC1310	LAP	thiopeptide		
fig|6666666.590941.peg.3855	CuatroCienegas	35.1	Streptomyces lentzea CC1124	T1PKS	T1PKS	maduropeptin	28
fig|6666666.590941.peg.6587	CuatroCienegas	1.2	Streptomyces lentzea CC101	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.7200	CuatroCienegas	1.5	Streptomyces lentzea CC341	terpene	NRPS	stigmatellin	40
fig|6666666.590941.peg.3177	CuatroCienegas	51.1	Streptomyces lentzea CC1338	NRPS	NRPS	streptolydigin	10
BGC0000445_CAJ34361	MiBIG	-	Micromonospora sp. ML1	NRP	NRP	thiocoraline	100
BGC0000434_BAI63275	MiBIG	-	Streptomyces sp. SNA15896	NRP	NRP	SW-163	100
BGC0000339_BAE98164	MiBIG	-	Streptomyces lasaliensis	NRP	NRP	echinomycin	100
BGC0000873_CAD62206	MiBIG	-	Saccharothrix mutabilis subsp. capreolus	Other	Other	A201A	100
BGC0001622_ARG41904	MiBIG	-	Streptomyces sp.	Polyketide	Polyketide	isatropolone A-isotropolone B-isotropolone C	100
BGC0000717_CAH94371	MiBIG	-	Streptomyces griseus subsp. griseus	Saccharide	Saccharide	streptomycin	100
BGC0001381_AJO72708	MiBIG	-	Nocardia terpenica	Polyketide	Polyketide	brasilinolide A-brasilinolide B-brasilinolide C	100
BGC0001647_ONK09693	MiBIG	-	Streptomyces sp. MP131-18	Polyketide	Polyketide	lagunapyrone A-lagunapyrone B-lagunapyrone C	100
BGC0000340_AHN91931	MiBIG	-	Streptomyces sp. LZ35	NRP	NRP	echosides	100
BGC0000703_BAE95581	MiBIG	-	Streptomyces kanamyceticus	Saccharide	Saccharide	kanamycin	100
BGC0000262_AHW57785	MiBIG	-	Streptomyces sp. PGA64	Polyketide-Saccharide	Polyketide-Saccharide	rabelomycin	100
BGC0001818_BAV57437	MiBIG	-	Streptomyces sp. SANK 60404	NRP	NRP	vazabitide A	100
BGC0000440_CAE53385	MiBIG	-	Actinoplanes teichomyceticus	NRP	NRP	teicoplanin	100
BGC0000267_ACP19367	MiBIG	-	Micromonospora sp. Tu 6368	Polyketide-Saccharide	Polyketide-Saccharide	saquayamycin Z-galtamycin B	100
BGC0000291_AAZ23088	MiBIG	-	Streptomyces fradiae	NRP	NRP	A54145	100
BGC0000766_ABM21418	MiBIG	-	Lactobacillus johnsonii	Saccharide	Saccharide	exopolysaccharide	100
BGC0000227_CAA09641	MiBIG	-	Streptomyces violaceoruber	Polyketide	Polyketide	granaticin	100
BGC0000220_AAF81720	MiBIG	-	Streptomyces maritimus	Polyketide	Polyketide	enterocin	100
BGC0001644_AJQ95709	MiBIG	-	Gynuella sunshinyii YC6258	Polyketide	Polyketide	lacunalides	100
BGC0001041_ABP53487	MiBIG	-	Salinispora tropica CNB-440	NRP-Polyketide	NRP-Polyketide	salinosporamide	100
BGC0001065_AEZ64552	MiBIG	-	Streptomyces chromofuscus	Polyketide	Polyketide	herboxidiene	100
BGC0000413_AAY93416	MiBIG	-	Pseudomonas protegens Pf-5	NRP	NRP	pyoverdine	100
BGC0001011_ABC87522	MiBIG	-	Streptomyces sp. NRRL 30748	NRP-Polyketide	NRP-Polyketide	meridamycin	100
BGC0000075_AFV30268	MiBIG	-	Streptomyces sp. LZ35	Polyketide	Polyketide	hygrocin	100
BGC0001560_ARO38318	MiBIG	-	Moorea producens JHB	NRP-Polyketide	NRP-Polyketide	cryptomaldamide	100
BGC0000612_AAP11943	MiBIG	-	Bacillus cereus ATCC 14579	RiPP	RiPP	thiocillin I-thiocillin II	100
BGC0000015_AAV37055	MiBIG	-	Streptomyces nodosus	Polyketide	Polyketide	amphotericin	100
BGC0000259_CAH55645	MiBIG	-	Serratia marcescens	Polyketide	Polyketide	prodigiosin	100
BGC0001215_CRI73795							
BGC0000607_AIU53951							
BGC0000065_ADE22346	MiBIG	-	Streptomyces galbus	Polyketide	Polyketide	galbonolides	100
BGC0000150_ABP55136	MiBIG	-	Salinispora tropica CNB-440	NRP-Polyketide	NRP-Polyketide	sporolide	100
BGC0000394_AGD80632	MiBIG	-	Streptomyces lusitanus	NRP	NRP	naphthyridinomycin	100
BGC0000648_CAA79965	MiBIG	-	Myxococcus xanthus	Terpene	Terpene	carotenoid	100
BGC0001087_ABP56865	MiBIG	-	Salinispora tropica CNB-440	Saccharide-Terpene	Saccharide-Terpene	sioxanthin	100
BGC0000648_CAA79964	MiBIG	-	Myxococcus xanthus	Terpene	Terpene	carotenoid	100
BGC0001364_WP_026341366	MiBIG	-	Actinomadura atramentaria DSM 43919	RiPP	RiPP	cinnamycin B	100
BGC0001555_YP_002539368	MiBIG	-	Escherichia coli chi7122	RiPP	RiPP	colicin V	100
BGC0001083_AGH68895	MiBIG	-	Streptomyces sp. CNH189	Polyketide-Terpene	Polyketide-Terpene	merochlorin	100
BGC0000934_AHW81467	MiBIG	-	Kitasatospora sp. HKI 714	Other	Other	endophenazines	100
BGC0000766_ABM21424	MiBIG	-	Lactobacillus johnsonii	Saccharide	Saccharide	exopolysaccharide	100
BGC0000767_ABM21447	MiBIG	-	Lactobacillus johnsonii	Saccharide	Saccharide	exopolysaccharide	100
BGC0001038_AGC24257	MiBIG	-	Nonomuraea spiralis	NRP-Polyketide	NRP-Polyketide	pyralomicin	100
BGC0000105_AAP42876	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	nanchangmycin	100
BGC0001555_YP_002539439	MiBIG	-	Escherichia coli chi7122	RiPP	RiPP	colicin V	100
BGC0001555_YP_002539278	MiBIG	-	Escherichia coli chi7122	RiPP	RiPP	colicin V	100
BGC0000264_CAE51186	MiBIG	-	Streptomyces resistomycificus	Polyketide	Polyketide	resistomycin	100
BGC0001303_ALA09361	MiBIG	-	Micromonospora sp. RL09-050-HVF-A	Polyketide	Polyketide	lobosamide	100
BGC0001596_WP_107071373	MiBIG	-	Streptomyces albus	Polyketide	Polyketide	fluostatins M-Q	100
BGC0000121_AGO59050	MiBIG	-	Pestalotiopsis fici	Polyketide	Polyketide	pestheic acid	100
BGC0000069_AHA38196	MiBIG	-	Cystobacter violaceus	Polyketide	Polyketide	gephyronic acid	100
BGC0000226_AAP69588	MiBIG	-	Streptomyces griseoflavus	Polyketide	Polyketide	gilvocarcin	100
BGC0001555_YP_002539390	MiBIG	-	Escherichia coli chi7122	RiPP	RiPP	colicin V	100
BGC0001783_AFW04595	MiBIG	-	Streptomyces flocculus	Other	Other	streptonigrin	100
BGC0001295_ALA99206	MiBIG	-	Streptomyces cremeus	Other	Other	cremeomycin	100
BGC0000289_CAD91199	MiBIG	-	Nonomuraea sp. ATCC 39727	NRP-Saccharide	NRP-Saccharide	A40926	100
BGC0001807_ATL73024	MiBIG	-	Streptomyces pactum	NRP-Polyketide	NRP-Polyketide	totopensamide	100
