ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.540615.peg.4474	CuatroCienegas	24.1	Nocardia sp. CC216A	NRPS	NRPS	amychelin	18
fig|6666666.540615.peg.4982	CuatroCienegas	23.1	Nocardia sp. CC216A	NRPS	NRPS	aurantimycin A	6
fig|6666666.540615.peg.2512	CuatroCienegas	37.1	Nocardia sp. CC216A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540615.peg.6274	CuatroCienegas	27.1	Nocardia sp. CC216A	hglE-KS	hglE-KS	paramagnetoquinone 1 / paramagnetoquinone 2	10
fig|6666666.540615.peg.2531	CuatroCienegas	37.1	Nocardia sp. CC216A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540615.peg.1298	CuatroCienegas	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.3039	CuatroCienegas	50.4	Nocardia sp. CC216A	NRPS	NRPS	hygrocin A / hygrocin B	6
fig|6666666.540615.peg.5222	CuatroCienegas	39.1	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540620.peg.4383	CuatroCienegas	29.1	Streptomyces sp. CC226D	NRPS	T1PKS	collismycin A	85
fig|6666666.540620.peg.14015	CuatroCienegas	26.1	Streptomyces sp. CC226D	butyrolactone	butyrolactone	coelimycin P1	16
fig|6666666.540620.peg.10410	CuatroCienegas	185.3	Streptomyces sp. CC226D	T3PKS	T3PKS	herboxidiene	6
fig|6666666.540620.peg.14037	CuatroCienegas	26.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	nocathiacin	4
fig|6666666.540620.peg.6803	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.10631	CuatroCienegas	147.1	Streptomyces sp. CC226D	T1PKS	T1PKS	streptolydigin	7
fig|6666666.540620.peg.14732	CuatroCienegas	85.2	Streptomyces sp. CC226D	NRPS	NRPS	polyoxypeptin	8
fig|6666666.540620.peg.13068	CuatroCienegas	72.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	dactylocycline A	7
fig|6666666.540620.peg.3071	CuatroCienegas	92.1	Streptomyces sp. CC226D	terpene	terpene		
fig|6666666.540620.peg.12541	CuatroCienegas	122.1	Streptomyces sp. CC226D	arylpolyene	T3PKS		
fig|6666666.540620.peg.3055	CuatroCienegas	92.1	Streptomyces sp. CC226D	terpene	terpene		
fig|6666666.540620.peg.6665	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.7364	CuatroCienegas	201.1	Streptomyces sp. CC226D	NRPS	NRPS	heterobactin A / heterobactin S2	63
fig|6666666.540620.peg.6670	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6663	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.14040	CuatroCienegas	26.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	nocathiacin	4
fig|6666666.540620.peg.9322	CuatroCienegas	173.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.14414	CuatroCienegas	124.1	Streptomyces sp. CC226D	butyrolactone	ectoine	showdomycin	47
fig|6666666.540620.peg.3458	CuatroCienegas	33.1	Streptomyces sp. CC226D	terpene	terpene	hopene	69
fig|6666666.540620.peg.8890	CuatroCienegas	128.1	Streptomyces sp. CC226D	NRPS	NRPS	nocobactin NA	37
fig|6666666.540621.peg.4293	CuatroCienegas	167.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	uncialamycin	18
fig|6666666.540621.peg.3103	CuatroCienegas	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.4298	CuatroCienegas	167.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	uncialamycin	18
fig|6666666.540754.peg.4218	CuatroCienegas	51.1	Streptomyces sp. CC224E	T1PKS	NRPS	bacillibactin	100
fig|6666666.540754.peg.5017	CuatroCienegas	57.1	Streptomyces sp. CC224E	terpene	NRPS	paulomycin	7
fig|6666666.540754.peg.4207	CuatroCienegas	51.1	Streptomyces sp. CC224E	T1PKS	NRPS	bacillibactin	100
fig|6666666.540754.peg.8412	CuatroCienegas	16.1	Streptomyces sp. CC224E	NRPS-like	NRPS-like		
fig|6666666.540754.peg.3159	CuatroCienegas	34.2	Streptomyces sp. CC224E	NRPS	butyrolactone	scleric acid	29
fig|6666666.540754.peg.7012	CuatroCienegas	8.1	Streptomyces sp. CC224E	other	PKS-like	daptomycin	7
fig|6666666.540754.peg.5047	CuatroCienegas	57.1	Streptomyces sp. CC224E	terpene	NRPS	paulomycin	7
fig|1823.7.peg.2235	CuatroCienegas	332.1	Nocardia otitidiscaviarum sp. CC201C	NRPS	NRPS		
fig|1823.7.peg.7248	CuatroCienegas	37.1	Nocardia otitidiscaviarum sp. CC201C	hglE-KS	hglE-KS		
fig|1823.7.peg.4271	CuatroCienegas	159.1	Nocardia otitidiscaviarum sp. CC201C	terpene	terpene		
fig|1823.7.peg.5740	CuatroCienegas	172.1	Nocardia otitidiscaviarum sp. CC201C	terpene	terpene		
fig|6666666.563200.peg.5690	CuatroCienegas	85.1	Streptomyces sp. CC216B	NRPS	T1PKS	collismycin A	44
fig|6666666.563200.peg.5176	CuatroCienegas	88.1	Streptomyces sp. CC216B	butyrolactone	butyrolactone	coelimycin P1	16
fig|6666666.563200.peg.4428	CuatroCienegas	157.1	Streptomyces sp. CC216B	T3PKS	T3PKS	herboxidiene	6
fig|6666666.563200.peg.5197	CuatroCienegas	88.2	Streptomyces sp. CC216B	NRPS-like	NRPS-like	nocathiacin	4
fig|6666666.563200.peg.5200	CuatroCienegas	88.2	Streptomyces sp. CC216B	NRPS-like	NRPS-like	nocathiacin	4
fig|6666666.563200.peg.5274	CuatroCienegas	66.1	Streptomyces sp. CC216B	terpene	terpene	hopene	38
fig|6666666.563201.peg.6595	CuatroCienegas	125.1	Streptomyces sp. CC216C	T1PKS	T1PKS	maduropeptin	15
fig|6666666.563201.peg.2081	CuatroCienegas	131.1	Streptomyces sp. CC216C	butyrolactone	butyrolactone	coelimycin P1	16
fig|6666666.563201.peg.4299	CuatroCienegas	389.1	Streptomyces sp. CC216C	T3PKS	T3PKS	herboxidiene	6
fig|6666666.563201.peg.749	CuatroCienegas	574.1	Streptomyces sp. CC216C	terpene	terpene	hopene	38
fig|6666666.563202.peg.5876	CuatroCienegas	93.1	Streptomyces sp. CC224B	terpene	terpene	albaflavenone	100
fig|6666666.563202.peg.4550	CuatroCienegas	30.1	Streptomyces sp. CC224B	terpene	terpene	carotenoid	63
fig|6666666.563202.peg.4552	CuatroCienegas	30.1	Streptomyces sp. CC224B	terpene	terpene	carotenoid	63
fig|6666666.563202.peg.2212	CuatroCienegas	73.1	Streptomyces sp. CC224B	NRPS	NRPS-like	jawsamycin	30
fig|6666666.563202.peg.2743	CuatroCienegas	24.1	Streptomyces sp. CC224B	lassopeptide	lassopeptide	SSV-2083	54
fig|6666666.563202.peg.1303	CuatroCienegas	99.1	Streptomyces sp. CC224B	NRPS	NRPS	cysteoamide	18
fig|6666666.563202.peg.5685	CuatroCienegas	4.1	Streptomyces sp. CC224B	NRPS-like	NRPS-like	telomycin	17
fig|6666666.584549.peg.8363	CuatroCienegas	24.1	Streptomyces sp. CC213Dhybcontrimo	T3PKS	T3PKS	herboxidiene	6
fig|6666666.584549.peg.7748	CuatroCienegas	31.1	Streptomyces sp. CC213Dhybcontrimo	butyrolactone	ectoine	showdomycin	41
fig|6666666.590938.peg.6600	CuatroCienegas	27.1	Streptomyces rochei CC106	terpene	terpene	albaflavenone	100
fig|6666666.590938.peg.5948	CuatroCienegas	78.1	Streptomyces rochei CC200	indole	indole	7-prenylisatin	100
fig|6666666.590938.peg.5490	CuatroCienegas	175.1	Streptomyces rochei CC463	NRPS	NRPS	coelichelin	100
fig|6666666.590938.peg.5497	CuatroCienegas	175.1	Streptomyces rochei CC470	NRPS	NRPS	coelichelin	100
fig|6666666.590939.peg.6694	CuatroCienegas	17.1	Streptomyces rochei CC94	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6102	CuatroCienegas	280.2	Streptomyces rochei CC473	indole	indole	7-prenylisatin	100
fig|6666666.590940.peg.3141	CuatroCienegas	2.1	Streptomyces rochei CC48	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.6833	CuatroCienegas	43.1	Streptomyces rochei CC697	indole	indole	7-prenylisatin	100
fig|6666666.590940.peg.3797	CuatroCienegas	23.1	Streptomyces rochei CC445	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3791	CuatroCienegas	23.1	Streptomyces rochei CC439	NRPS	NRPS	coelichelin	100
fig|6666666.590941.peg.3863	CuatroCienegas	35.1	Streptomyces lentzea CC1132	T1PKS	T1PKS	maduropeptin	28
fig|6666666.590941.peg.6621	CuatroCienegas	1.2	Streptomyces lentzea CC135	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.3351	CuatroCienegas	7.1	Streptomyces lentzea CC646	NRPS-like	NRPS-like	indigoidine	6
fig|6666666.590941.peg.7163	CuatroCienegas	1.5	Streptomyces lentzea CC304	terpene	NRPS	stigmatellin	40
fig|6666666.590941.peg.6698	CuatroCienegas	1.3	Streptomyces lentzea CC204	NRPS	CDPS	coelibactin	36
fig|6666666.590941.peg.1109	CuatroCienegas	15.2	Streptomyces lentzea CC777	PKS-like	indole	fortimicin	6
fig|6666666.590941.peg.7200	CuatroCienegas	1.5	Streptomyces lentzea CC341	terpene	NRPS	stigmatellin	40
BGC0001055_CAJ87610	MiBIG	-	Escherichia coli	NRP-Polyketide	NRP-Polyketide	yersiniabactin	100
BGC0001728_WP_013310347	MiBIG	-	Paenibacillus polymyxa E681	NRP-Polyketide	NRP-Polyketide	paenilipoheptin	100
BGC0001008_ABY65996	MiBIG	-	Actinomadura madurae	Polyketide	Polyketide	maduropeptin	100
BGC0001774_AVM80401	MiBIG	-	Streptomyces fimbriatus	Other	Other	septacidin	100
BGC0001377_AMK92565	MiBIG	-	Streptomyces uncialis	Polyketide	Polyketide	uncialamycin	100
BGC0001815_AMK92565	MiBIG	-	Streptomyces uncialis	Polyketide	Polyketide	uncialamycin	100
BGC0000150_ABP55137	MiBIG	-	Salinispora tropica CNB-440	NRP-Polyketide	NRP-Polyketide	sporolide	100
BGC0001584_ANY94467	MiBIG	-	Streptomyces sp. CB02366	Polyketide	Polyketide	C-1027	100
BGC0000965_AAL06696	MiBIG	-	Streptomyces globisporus	Polyketide	Polyketide	C-1027	100
BGC0001397_ALU98458	MiBIG	-	Streptomyces globisporus C-1027	NRP-Polyketide	NRP-Polyketide	lidamycin	100
BGC0001728_WP_013310336	MiBIG	-	Paenibacillus polymyxa E681	NRP-Polyketide	NRP-Polyketide	paenilipoheptin	100
BGC0001378_AME18023	MiBIG	-	Streptomyces sp. CB03234	Polyketide	Polyketide	tiancimycin	100
BGC0001804_AME18023	MiBIG	-	Streptomyces sp. CB03234	Polyketide	Polyketide	tiancimycin	100
BGC0001750_ATG32090	MiBIG	-	Nannocystis pusilla	NRP-Polyketide	NRP-Polyketide	pyrronazol B	100
BGC0000240_AHZ61842	MiBIG	-	Salinispora pacifica	Polyketide-Saccharide	Polyketide-Saccharide	lomaiviticin	100
BGC0001289_ALR96376	MiBIG	-	Paenibacillus ehimensis	RiPP	RiPP	penisin	100
BGC0000652_ABS50483	MiBIG	-	Streptomyces sp. CNQ525	Terpene	Terpene	napyradiomycin	100
BGC0000241_ABP54631	MiBIG	-	Salinispora tropica CNB-440	Polyketide-Saccharide	Polyketide-Saccharide	lomaiviticin	100
BGC0001014_CAD15515	MiBIG	-	Ralstonia solanacearum GMI1000	NRP-Polyketide	NRP-Polyketide	micacocidin	100
BGC0000081_AFV52137	MiBIG	-	Streptoalloteichus sp. ATCC 53650	Polyketide	Polyketide	kedarcidin	100
BGC0000112_AAM78008	MiBIG	-	Streptomyces carzinostaticus subsp. neocarzinostaticus	Polyketide	Polyketide	neocarzinostatin	100
BGC0000964_ABC37158	MiBIG	-	Burkholderia thailandensis E264	NRP-Polyketide	NRP-Polyketide	burkholdac	100
BGC0001503_ATV95650	MiBIG	-	Amycolatopsis sp.	Polyketide	Polyketide	amycolamycin A-amycolamycin B	100
BGC0000081_AFV52208	MiBIG	-	Streptoalloteichus sp. ATCC 53650	Polyketide	Polyketide	kedarcidin	100
BGC0001693_ARD70856	MiBIG	-	Micromonospora echinospora	Polyketide	Polyketide	nenestatin	100
BGC0000678_BAC70711	MiBIG	-	Streptomyces avermitilis MA-4680 = NBRC 14893	Terpene	Terpene	pentalenolactone	100
BGC0001540_ARK19474	MiBIG	-	Streptomyces zelensis	Other	Other	CC-1065	100
BGC0001200_ctg1_orf265	MiBIG	-	Streptomyces sp. NBRC 109706	Polyketide	Polyketide	lorneic acid A	100
BGC0000824_ACC79999	MiBIG	-	Nostoc punctiforme PCC 73102	Alkaloid	Alkaloid	scytonemin	100
BGC0001079_ABS50455	MiBIG	-	Streptomyces aculeolatus	Polyketide-Terpene	Polyketide-Terpene	napyradiomycin	100
BGC0001598_AOE23589	MiBIG	-	Streptomyces diastatochromogenes	NRP-Polyketide	NRP-Polyketide	foxicins A-D	100
BGC0001060_ACB47062	MiBIG	-	Micromonospora chersina	Polyketide	Polyketide	dynemicin	100
BGC0000033_AAM70331	MiBIG	-	Micromonospora echinospora	Polyketide	Polyketide	calicheamicin	100
BGC0001040_CAA60472	MiBIG	-	Streptomyces rapamycinicus	NRP-Polyketide	NRP-Polyketide	rapamycin	100
BGC0000413_AAY93369	MiBIG	-	Pseudomonas protegens Pf-5	NRP	NRP	pyoverdine	100
BGC0000087_CAQ64723	MiBIG	-	Streptomyces lasaliensis	Polyketide	Polyketide	lasalocid	100
BGC0001378_AME17994	MiBIG	-	Streptomyces sp. CB03234	Polyketide	Polyketide	tiancimycin	100
BGC0001804_AME17994	MiBIG	-	Streptomyces sp. CB03234	Polyketide	Polyketide	tiancimycin	100
BGC0000065_ADE22329	MiBIG	-	Streptomyces galbus	Polyketide	Polyketide	galbonolides	100
BGC0000269_ADE34524	MiBIG	-	Streptomyces sp. SF2575	Other-Polyketide-Saccharide	Other-Polyketide-Saccharide	SF2575	100
BGC0000997_CAL80832	MiBIG	-	Polyangium brachysporum	NRP-Polyketide	NRP-Polyketide	glidobactin	100
BGC0001693_ARD70907	MiBIG	-	Micromonospora echinospora	Polyketide	Polyketide	nenestatin	100
BGC0000374_AEH41781	MiBIG	-	Streptomyces griseoflavus	NRP	NRP	hormaomycin	100
BGC0001114_AGN11877	MiBIG	-	Burkholderia thailandensis	NRP-Polyketide	NRP-Polyketide	thailanstatin	100
BGC0000443_AED89998	MiBIG	-	Pseudomonas sp. SHC52	NRP	NRP	thanamycin	100
BGC0000925_AAL65283	MiBIG	-	Pseudomonas fluorescens	Other	Other	quinolobactin	100
BGC0000413_AAY93385	MiBIG	-	Pseudomonas protegens Pf-5	NRP	NRP	pyoverdine	100
BGC0000813_ABD59205	MiBIG	-	Nonomuraea longicatena	Alkaloid	Alkaloid	K-252a	100
BGC0000814_ACN29708	MiBIG	-	Nonomuraea longicatena	Alkaloid	Alkaloid	K-252a	100
BGC0001428_orf5	MiBIG	-	Myxococcus xanthus	NRP-Polyketide	NRP-Polyketide	myxochromide A	100
BGC0000105_AAP42877	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	nanchangmycin	100
BGC0001377_AMK92581	MiBIG	-	Streptomyces uncialis	Polyketide	Polyketide	uncialamycin	100
BGC0001815_AMK92581	MiBIG	-	Streptomyces uncialis	Polyketide	Polyketide	uncialamycin	100
BGC0000274_AFY23022	MiBIG	-	uncultured bacterium	Polyketide	Polyketide	tetarimycin	100
BGC0001106_ABS90462	MiBIG	-	Streptomyces albus	NRP-Polyketide	NRP-Polyketide	oxazolomycin	100
BGC0000440_CAE53339	MiBIG	-	Actinoplanes teichomyceticus	NRP	NRP	teicoplanin	100
BGC0000441_CAG14998	MiBIG	-	Actinoplanes teichomyceticus	NRP	NRP	teicoplanin	100
BGC0000240_AHZ61898	MiBIG	-	Salinispora pacifica	Polyketide-Saccharide	Polyketide-Saccharide	lomaiviticin	100
BGC0001424_orf5	MiBIG	-	Myxococcus virescens	NRP-Polyketide	NRP-Polyketide	myxochromide C	100
BGC0000241_ABP54679	MiBIG	-	Salinispora tropica CNB-440	Polyketide-Saccharide	Polyketide-Saccharide	lomaiviticin	100
BGC0001422_orf6	MiBIG	-	Myxococcus fulvus	NRP-Polyketide	NRP-Polyketide	myxochromide A	100
BGC0000352_CAG69521	MiBIG	-	Acinetobacter sp. ADP1	NRP	NRP	fimsbactin	100
BGC0001750_ATG32089	MiBIG	-	Nannocystis pusilla	NRP-Polyketide	NRP-Polyketide	pyrronazol B	100
BGC0001293_ALP32041	MiBIG	-	Streptomyces sp. NCIB 11649	Polyketide	Polyketide	cyclizidine	100
BGC0000344_CAK15819	MiBIG	-	Pseudomonas entomophila L48	NRP	NRP	entolysin	100
BGC0001070_CAN89614	MiBIG	-	Streptomyces collinus Tu 365	NRP-Polyketide	NRP-Polyketide	kirromycin	100
BGC0000031_CAE45656	MiBIG	-	Streptomyces parvulus	Polyketide	Polyketide	borrelidin	100
BGC0001533_ALV82316	MiBIG	-	Streptomyces rochei	Polyketide	Polyketide	borrelidin	100
BGC0001593_ARF06245	MiBIG	-	Streptomyces ficellus	NRP	NRP	ficellomycin	100
BGC0000758_AAL26687	MiBIG	-	Staphylococcus aureus	Saccharide	Saccharide	capsular polysaccharide	100
BGC0000872_BAJ05882	MiBIG	-	Streptomyces sp. SANK 60405	Other	Other	A-90289	100
BGC0000268_CAH10107	MiBIG	-	Streptomyces sp. SCC 2136	Polyketide	Polyketide	Sch47554-Sch47555	100
BGC0001392_ACU62748	MiBIG	-	Chitinophaga pinensis DSM 2588	RiPP	RiPP	pinensins	100
BGC0000444_AAW49317	MiBIG	-	Streptomyces turgidiscabies Car8	NRP	NRP	thaxtomin	100
BGC0001312_CAY48797	MiBIG	-	Pseudomonas fluorescens SBW25	NRP	NRP	viscosin	100
BGC0001002_BAO98804	MiBIG	-	Streptomyces roseoverticillatus	NRP-Polyketide	NRP-Polyketide	jawsamycin	100
BGC0001523_ARM20296	MiBIG	-	Streptomyces sp. 211726	Polyketide	Polyketide	azalomycin F	100
BGC0001076_ADC96655	MiBIG	-	Streptomyces sp. SN-1061M	Other	Other	liposidomycin	100
BGC0001055_CAJ87589	MiBIG	-	Escherichia coli	NRP-Polyketide	NRP-Polyketide	yersiniabactin	100
BGC0001700_AUO16420	MiBIG	-	Streptomyces sp. IMB7-145	Polyketide	Polyketide	niphimycins C-E	100
BGC0000087_CAQ64716	MiBIG	-	Streptomyces lasaliensis	Polyketide	Polyketide	lasalocid	100
BGC0000321_ctg1_orf000000	MiBIG	-	Chaetomium virescens	NRP	NRP	chaetocin	100
BGC0001195_AJW65397	MiBIG	-	Nocardiopsis sp. CMB-M0232	NRP-Polyketide	NRP-Polyketide	nocardiopsin	100
BGC0000466_ADZ13562	MiBIG	-	Streptomyces sp. TP-A2060	NRP	NRP	yatakemycin	100
BGC0000385_AEH59062	MiBIG	-	Lysobacter sp. ATCC 53042	NRP	NRP	lysobactin	100
BGC0000074_AAY28221	MiBIG	-	Streptomyces hygroscopicus	Polyketide	Polyketide	herbimycin	100
BGC0000875_ACQ63617	MiBIG	-	Streptomyces sp. MK730-62F2	Other	Other	caprazamycin	100
BGC0000066_AAO06912	MiBIG	-	Streptomyces hygroscopicus	Polyketide	Polyketide	geldanamycin	100
BGC0001331_WP_019032751	MiBIG	-	Salinispora arenicola CNR107	NRP-Polyketide	NRP-Polyketide	BE-43547 A1-C2	100
BGC0001330_WP_047890616	MiBIG	-	Micromonospora sp. RV43	NRP-Polyketide	NRP-Polyketide	BE-43547 A1-C2	100
BGC0001707_AQM75225	MiBIG	-	Streptomyces sp.	RiPP	RiPP	nosiheptide	100
BGC0000249_AAG42846	MiBIG	-	Streptomyces nogalater	Polyketide	Polyketide	nogalamycin	100
BGC0000093_ADC45583	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	meilingmycin	100
BGC0000981_ADF88280	MiBIG	-	Aphanizomenon sp. 10E6	NRP-Polyketide	NRP-Polyketide	cylindrospermopsin	100
BGC0000978_ABX60162	MiBIG	-	Cylindrospermopsis raciborskii AWT205	Alkaloid-NRP-Polyketide	Alkaloid-NRP-Polyketide	cylindrospermopsin	100
BGC0001183_AGC09493	MiBIG	-	Streptomyces sp. FXJ7.023	Polyketide	Polyketide	lobophorin	100
BGC0001004_AGI99488	MiBIG	-	Streptomyces sp. SCSIO 01127	Polyketide	Polyketide	lobophorin	100
BGC0000385_AEH59048	MiBIG	-	Lysobacter sp. ATCC 53042	NRP	NRP	lysobactin	100
BGC0001055_CAJ87568	MiBIG	-	Escherichia coli	NRP-Polyketide	NRP-Polyketide	yersiniabactin	100
BGC0001657_BAV56276	MiBIG	-	Lysobacter sp. RH2180-5	NRP	NRP	lysocin	100
BGC0000238_ABX71108	MiBIG	-	Streptomyces rishiriensis	Polyketide	Polyketide	lactonamycin	100
BGC0001029_AEU11005	MiBIG	-	Nostoc sp. 152	NRP	NRP	nostophycin	100
BGC0000162_ACB37749	MiBIG	-	Micromonospora chalcea	Polyketide	Polyketide	tetrocarcin A	100
BGC0001288_BAQ25495	MiBIG	-	Micromonospora sp. GMKU326	Polyketide	Polyketide	maklamicin	100
BGC0000547_ACX68640	MiBIG	-	Streptococcus salivarius	RiPP	RiPP	salivaricin 9	100
BGC0000544_CCQ18688	MiBIG	-	Planomonospora alba	RiPP	RiPP	planosporicin	100
BGC0001179_AHL46716	MiBIG	-	Streptomyces bottropensis	Polyketide	Polyketide	rishirilide B	100
BGC0000267_ACP19367	MiBIG	-	Micromonospora sp. Tu 6368	Polyketide-Saccharide	Polyketide-Saccharide	saquayamycin Z-galtamycin B	100
BGC0000105_AAP42876	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	nanchangmycin	100
BGC0001719_AWM72910	MiBIG	-	Streptomyces olivaceus	Polyketide	Polyketide	olimycin A-olimycin B	100
BGC0000093_ADC45597	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	meilingmycin	100
BGC0001761_AQW44870	MiBIG	-	Sorangium cellulosum	Polyketide	Polyketide	ripostatin A-ripostatin B-ripostatin C	100
