fig|6666666.737888.peg.8091	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8090	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8089	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8088	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8087	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8086	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8085	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8084	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8083	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8082	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8081	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8080	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8079	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8078	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8077	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8076	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8075	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8074	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8073	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8072	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8071	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8070	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8069	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8068	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8067	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8066	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8065	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8064	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8063	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8062	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.7994	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7993	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7992	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7991	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7990	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7989	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7988	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7987	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7986	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7985	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7984	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7983	CuatroCienegas	24.2	Streptomyces sp. CC219B	siderophore	siderophore		
fig|6666666.737888.peg.7951	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7950	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7949	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7948	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7947	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7946	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7945	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7944	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7943	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7942	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7941	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7940	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7939	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7938	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7937	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7936	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7935	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7934	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7933	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7932	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7931	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7930	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7929	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7928	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7927	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7926	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7925	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7924	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7923	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7922	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7921	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7920	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7919	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7918	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7917	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7916	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7915	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7914	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7913	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.7747	CuatroCienegas	25.1	Streptomyces sp. CC219B	NRPS	NRPS		
fig|6666666.737888.peg.7746	CuatroCienegas	79.1	Streptomyces sp. CC219B	NRPS	NRPS	rhizomide A / rhizomide B / rhizomide C	100
fig|6666666.737888.peg.7745	CuatroCienegas	79.1	Streptomyces sp. CC219B	NRPS	NRPS	rhizomide A / rhizomide B / rhizomide C	100
fig|6666666.737888.peg.7722	CuatroCienegas	41.1	Streptomyces sp. CC219B	NRPS	NRPS		
fig|6666666.737888.peg.7650	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7649	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7648	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7647	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7646	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7645	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7644	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7643	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7642	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7641	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7640	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7639	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7638	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7637	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7636	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7635	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7634	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7633	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7632	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7631	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7630	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7629	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7628	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7627	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7626	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7625	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7624	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7623	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7622	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7621	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7620	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7619	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7618	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7617	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7616	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7615	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7614	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7613	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7612	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7611	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7610	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.7522	CuatroCienegas	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7521	CuatroCienegas	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7520	CuatroCienegas	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7519	CuatroCienegas	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7518	CuatroCienegas	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.7517	CuatroCienegas	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
