ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.590941.peg.5480	CuatroCienegas	22.1	Streptomyces lentzea CC944	T2PKS	PKS-like	LL-D49194alpha1 (LLD)	32
fig|6666666.590941.peg.5161	CuatroCienegas	5.1	Streptomyces lentzea CC479	NRPS	NRPS	coelichelin	72
fig|6666666.590941.peg.3184	CuatroCienegas	51.1	Streptomyces lentzea CC1345	NRPS	NRPS	streptolydigin	10
fig|6666666.590941.peg.6717	CuatroCienegas	1.3	Streptomyces lentzea CC223	NRPS	CDPS	coelibactin	36
fig|6666666.590941.peg.3294	CuatroCienegas	4.1	Streptomyces lentzea CC436	NRPS	NRPS		
fig|6666666.590941.peg.5700	CuatroCienegas	43.1	Streptomyces lentzea CC1269	ladderane	T1PKS	vancosamine	100
fig|6666666.590941.peg.6176	CuatroCienegas	6.1	Streptomyces lentzea CC488	NRPS-like	PKS-like	xantholipin	12
fig|6666666.590941.peg.3871	CuatroCienegas	35.1	Streptomyces lentzea CC1140	T1PKS	T1PKS	maduropeptin	28
fig|6666666.590941.peg.1164	CuatroCienegas	15.2	Streptomyces lentzea CC832	PKS-like	indole	fortimicin	6
fig|6666666.590941.peg.6591	CuatroCienegas	1.2	Streptomyces lentzea CC105	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.5501	CuatroCienegas	22.1	Streptomyces lentzea CC965	T2PKS	PKS-like	LL-D49194alpha1 (LLD)	32
fig|6666666.590941.peg.278	CuatroCienegas	32.1	Streptomyces lentzea CC1013	NRPS	T1PKS	butyrolactol A	66
fig|6666666.590941.peg.1163	CuatroCienegas	15.2	Streptomyces lentzea CC831	PKS-like	indole	fortimicin	6
fig|6666666.590941.peg.276	CuatroCienegas	32.1	Streptomyces lentzea CC1011	NRPS	T1PKS	butyrolactol A	66
fig|6666666.590941.peg.3423	CuatroCienegas	7.2	Streptomyces lentzea CC696	terpene	terpene	geosmin	100
BGC0000188_ABI75119	MiBIG	-	Cylindrospermopsis raciborskii T3	Alkaloid	Alkaloid	saxitoxin	100
BGC0000928_ABI75119	MiBIG	-	Cylindrospermopsis raciborskii T3	Other	Other	T3 toxin	100
BGC0000310_AAD21216	MiBIG	-	Bacillus licheniformis	NRP	NRP	bacitracin	100
BGC0000445_CAJ34389	MiBIG	-	Micromonospora sp. ML1	NRP	NRP	thiocoraline	100
BGC0000714_ACN38369	MiBIG	-	Micromonospora inyonensis	Saccharide	Saccharide	sisomicin	100
BGC0001308_WP_030267264	MiBIG	-	Streptomyces sp. NRRL B-24484	Polyketide	Polyketide	simocyclinone D9-simocyclinone D10-simocyclinone D11	100
BGC0000527_CAB60254	MiBIG	-	Bacillus sp. HIL-Y85/54728	RiPP	RiPP	mersacidin	100
BGC0000696_CAF31457	MiBIG	-	Micromonospora echinospora	Saccharide	Saccharide	gentamicin	100
BGC0001603_ARV75734	MiBIG	-	Micromonospora echinospora	Saccharide	Saccharide	gentamicin	100
BGC0000845_EDY47143	MiBIG	-	Streptomyces clavuligerus ATCC 27064	Other	Other	clavulanic acid	100
BGC0000223_AEE65494	MiBIG	-	uncultured bacterium BAC AB649/1850	Polyketide	Polyketide	fluostatin	100
BGC0001352_CUI25689	MiBIG	-	Streptomyces olivaceus	NRP-Polyketide	NRP-Polyketide	Tu 3010	100
BGC0001288_BAQ25486	MiBIG	-	Micromonospora sp. GMKU326	Polyketide	Polyketide	maklamicin	100
BGC0000700_CAH60130	MiBIG	-	Streptomyces tenjimariensis	Saccharide	Saccharide	istamycin	100
BGC0000379_AEG64695	MiBIG	-	Streptomyces viridochromogenes	NRP	NRP	laspartomycin	100
BGC0001005_AHI59111	MiBIG	-	Bacillus subtilis	NRP-Polyketide	NRP-Polyketide	locillomycin	100
BGC0000270_AAL15604	MiBIG	-	Streptomyces antibioticus	Polyketide	Polyketide	simocyclinone	100
BGC0000835_AAG34188	MiBIG	-	Streptomyces antibioticus	Polyketide	Polyketide	simocyclinone	100
BGC0001072_AAK06808	MiBIG	-	Streptomyces antibioticus	Other-Polyketide-Saccharide	Other-Polyketide-Saccharide	simocyclinone	100
BGC0000842_AGU42430	MiBIG	-	Streptomyces argenteolus	Other	Other	carbapenem MM 4550	100
BGC0001785_ASZ00168	MiBIG	-	Streptomyces spectabilis	Polyketide	Polyketide	streptovaricin	100
BGC0000133_AFI57015	MiBIG	-	Amycolatopsis orientalis	Polyketide	Polyketide	quartromicin	100
BGC0001287_CQR60474	MiBIG	-	Streptomyces leeuwenhoekii	Polyketide	Polyketide	chaxamycin A-chaxamycin B-chaxamycin C-chaxamycin D	100
BGC0000262_AHW57766	MiBIG	-	Streptomyces sp. PGA64	Polyketide-Saccharide	Polyketide-Saccharide	rabelomycin	100
BGC0001522_AWR88437	MiBIG	-	Streptomyces filamentosus	Polyketide	Polyketide	auroramycin	100
BGC0001596_WP_078845182	MiBIG	-	Streptomyces albus	Polyketide	Polyketide	fluostatins M-Q	100
BGC0000202_ADB02841	MiBIG	-	Kibdelosporangium sp. MJ126-NF4	Polyketide	Polyketide	azicemicin	100
BGC0001769_ARO44672	MiBIG	-	Streptomyces sp.	Polyketide	Polyketide	saquayamycin	100
BGC0000545_CAB93669	MiBIG	-	Ruminococcus gnavus E1	RiPP	RiPP	ruminococcin A	100
BGC0001727_ADM69285	MiBIG	-	Paenibacillus polymyxa E681	RiPP	RiPP	paenilan	100
BGC0000260_ABB69091	MiBIG	-	Hahella chejuensis KCTC 2396	Polyketide	Polyketide	prodigiosin	100
BGC0000035_AAS79471	MiBIG	-	Streptomyces bikiniensis	Polyketide	Polyketide	chalcomycin	100
BGC0000268_CAH10125	MiBIG	-	Streptomyces sp. SCC 2136	Polyketide	Polyketide	Sch47554-Sch47555	100
BGC0000232_BAJ07866	MiBIG	-	Streptomyces sp. 2238-SVT4	Polyketide	Polyketide	hatomarubigin	100
BGC0001384_BAV17023	MiBIG	-	Streptomyces sp. TK08046	Polyketide	Polyketide	saprolmycin E	100
BGC0000245_BAC79018	MiBIG	-	Streptomyces sp. AM-7161	Polyketide	Polyketide	medermycin	100
BGC0000229_AGO50631	MiBIG	-	Streptomyces lusitanus	Polyketide-Saccharide	Polyketide-Saccharide	grincamycin	100
BGC0000413_AAY93437	MiBIG	-	Pseudomonas protegens Pf-5	NRP	NRP	pyoverdine	100
BGC0001635_AQZ69221	MiBIG	-	Nonomuraea sp. ATCC 55076	NRP-Polyketide	NRP-Polyketide	kistamicin A	100
BGC0000303_ABW71856	MiBIG	-	Streptomyces refuineus subsp. thermotolerans	NRP	NRP	anthramycin	100
BGC0000289_CAD91201	MiBIG	-	Nonomuraea sp. ATCC 39727	NRP-Saccharide	NRP-Saccharide	A40926	100
BGC0001661_AVO00817	MiBIG	-	Streptomyces sp.	Polyketide	Polyketide	mayamycin B	100
BGC0000515_ABO65653	MiBIG	-	Geobacillus thermodenitrificans NG80-2	RiPP	RiPP	geobacillin I	100
BGC0001233_ALK27911	MiBIG	-	Streptomyces sp. DSM 11171	NRP	NRP	feglymycin	100
BGC0000409_AEA29625	MiBIG	-	Streptomyces albus subsp. albus	NRP	NRP	porothramycin	100
BGC0000526_ABI30224	MiBIG	-	Streptococcus macedonicus	RiPP	RiPP	macedocin	100
BGC0001701_ASY03210	MiBIG	-	Blautia obeum	RiPP	RiPP	nisin O	100
BGC0000547_ACX68642	MiBIG	-	Streptococcus salivarius	RiPP	RiPP	salivaricin 9	100
BGC0001788_AOT85897	MiBIG	-	Streptococcus suis	RiPP	RiPP	suicin 65	100
BGC0000290_AAM80541	MiBIG	-	Streptomyces toyocaensis	NRP	NRP	A47934	100
BGC0000440_CAE53348	MiBIG	-	Actinoplanes teichomyceticus	NRP	NRP	teicoplanin	100
BGC0000441_CAG15007	MiBIG	-	Actinoplanes teichomyceticus	NRP	NRP	teicoplanin	100
BGC0000223_AEE65471	MiBIG	-	uncultured bacterium BAC AB649/1850	Polyketide	Polyketide	fluostatin	100
BGC0000201_AAX57187	MiBIG	-	Streptomyces aureofaciens	Polyketide-Saccharide	Polyketide-Saccharide	auricin	100
BGC0001438_OWA25481	MiBIG	-	Streptomyces sp. CS057	Polyketide-Saccharide	Polyketide-Saccharide	warkmycin	100
BGC0001727_ADM69293	MiBIG	-	Paenibacillus polymyxa E681	RiPP	RiPP	paenilan	100
BGC0000511_AAL15573	MiBIG	-	Bacillus subtilis	RiPP	RiPP	ericin A	100
BGC0000557_AAB92599	MiBIG	-	Streptococcus pyogenes	RiPP	RiPP	streptococcin A-FF22	100
BGC0000559_AAB91594	MiBIG	-	Bacillus subtilis subsp. spizizenii ATCC 6633	RiPP	RiPP	subtilin	100
BGC0000311_CAG25752	MiBIG	-	Amycolatopsis balhimycina DSM 5908	NRP	NRP	balhimycin	100
BGC0000506_AEK64499	MiBIG	-	Bacillus subtilis subsp. spizizenii	RiPP	RiPP	entianin	100
BGC0000428_ACN39724	MiBIG	-	Streptosporangium sibiricum	NRP	NRP	sibiromycin	100
BGC0000203_ADI71440	MiBIG	-	Amycolatopsis orientalis subsp. vinearia	Polyketide	Polyketide	BE-7585A	100
BGC0000508_CAA44256	MiBIG	-	Staphylococcus epidermidis	RiPP	RiPP	epidermin	100
BGC0001178_AGS77305	MiBIG	-	Actinoplanes sp. ATCC 53533	NRP	NRP	UK-68,597	100
BGC0000549_AEX55159	MiBIG	-	Streptococcus salivarius	RiPP	RiPP	salivaricin D	100
BGC0000514_ABC94906	MiBIG	-	Staphylococcus gallinarum	RiPP	RiPP	gallidermin	100
BGC0000536_BAG71485	MiBIG	-	Lactococcus lactis	RiPP	RiPP	nisin Q	100
BGC0001701_ASY03216	MiBIG	-	Blautia obeum	RiPP	RiPP	nisin O	100
BGC0001040_CAA60455	MiBIG	-	Streptomyces rapamycinicus	NRP-Polyketide	NRP-Polyketide	rapamycin	100
BGC0000299_ERG36768	MiBIG	-	Pseudoalteromonas piscicida JCM 20779	NRP	NRP	alterochromides	100
BGC0001789_AOT85874	MiBIG	-	Streptococcus suis	RiPP	RiPP	suicin 90-1330	100
BGC0000537_ABA00873	MiBIG	-	Streptococcus uberis	RiPP	RiPP	nisin U	100
BGC0000535_ADJ56358	MiBIG	-	Lactococcus lactis subsp. lactis	RiPP	RiPP	nisin A	100
BGC0000926_ADB43064	MiBIG	-	Bacillus subtilis subsp. spizizenii ATCC 6633	Other	Other	rhizocticin	100
BGC0000450_BAH04159	MiBIG	-	Streptomyces triostinicus	NRP	NRP	triostin A	100
BGC0000415_AET98903	MiBIG	-	Streptomyces griseovariabilis subsp. bandungensis	NRP	NRP	quinomycin	100
BGC0000556_BAB08160	MiBIG	-	Streptococcus pyogenes	RiPP	RiPP	streptin	100
BGC0001228_WP_051419346	MiBIG	-	Salinispora arenicola CNT005	NRP	NRP	retimycin	100
BGC0000339_BAE98158	MiBIG	-	Streptomyces lasaliensis	NRP	NRP	echinomycin	100
BGC0000171_CCC21118	MiBIG	-	Streptomyces himastatinicus ATCC 53653	Polyketide	Polyketide	9-methylstreptimidone	100
BGC0001619_AKA59107	MiBIG	-	Streptomyces sp. WAC2288	Polyketide	Polyketide	ibomycin	100
BGC0001693_ARD70855	MiBIG	-	Micromonospora echinospora	Polyketide	Polyketide	nenestatin	100
BGC0000133_AFI57010	MiBIG	-	Amycolatopsis orientalis	Polyketide	Polyketide	quartromicin	100
BGC0000422_ABI22119	MiBIG	-	Streptomyces lavendulae	NRP	NRP	saframycin A	100
BGC0001694_AVI57410	MiBIG	-	Streptomyces koyangensis	Polyketide	Polyketide	meoabyssomicin-abyssomicin	100
BGC0000625_BAN83917	MiBIG	-	Streptomyces olivoviridis	RiPP	RiPP	thioviridamide	100
BGC0001803_BAN83917	MiBIG	-	Streptomyces olivoviridis	RiPP	RiPP	thioviridamide	100
BGC0000240_AHZ61841	MiBIG	-	Salinispora pacifica	Polyketide-Saccharide	Polyketide-Saccharide	lomaiviticin	100
BGC0000434_BAI63291	MiBIG	-	Streptomyces sp. SNA15896	NRP	NRP	SW-163	100
BGC0000527_CAB60259	MiBIG	-	Bacillus sp. HIL-Y85/54728	RiPP	RiPP	mersacidin	100
BGC0001433_SCO70297	MiBIG	-	Streptomyces argillaceus	Polyketide	Polyketide	argimycin P	100
BGC0000241_ABP54629	MiBIG	-	Salinispora tropica CNB-440	Polyketide-Saccharide	Polyketide-Saccharide	lomaiviticin	100
BGC0000082_ACB46500	MiBIG	-	Actinomadura kijaniata	Polyketide	Polyketide	kijanimicin	100
BGC0000727_ACK77758	MiBIG	-	Streptomyces aureofaciens	Saccharide	Saccharide	auricin deoxysugar moieties	100
BGC0001623_BAX64243	MiBIG	-	Streptomyces sp. MSC090213JE08	NRP-Polyketide	NRP-Polyketide	ishigamide	100
BGC0000222_BAJ52674	MiBIG	-	Streptomyces sp. TA-0256	Polyketide	Polyketide	FD-594	100
BGC0001213_EYT83454	MiBIG	-	Streptomyces sp. Tu 6176	Polyketide	Polyketide	nataxazole	100
BGC0001116_BAF50715	MiBIG	-	Streptomyces virginiae	NRP-Polyketide	NRP-Polyketide	virginiamycin	100
BGC0001073_AFJ52668	MiBIG	-	Micromonospora sp. TP-A0468	NRP-Polyketide	NRP-Polyketide	kosinostatin	100
BGC0001676_AVR52617	MiBIG	-	Streptomyces sp. FXJ1.235	Alkaloid	Alkaloid	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	100
BGC0000245_BAC79037	MiBIG	-	Streptomyces sp. AM-7161	Polyketide	Polyketide	medermycin	100
BGC0001183_AGC09475	MiBIG	-	Streptomyces sp. FXJ7.023	Polyketide	Polyketide	lobophorin	100
BGC0001004_AGI99506	MiBIG	-	Streptomyces sp. SCSIO 01127	Polyketide	Polyketide	lobophorin	100
BGC0000915_AAD28455	MiBIG	-	Streptomyces lavendulae	Other	Other	mitomycin	100
BGC0001083_AGH68920	MiBIG	-	Streptomyces sp. CNH189	Polyketide-Terpene	Polyketide-Terpene	merochlorin	100
BGC0000177_ACY01386	MiBIG	-	Streptomyces platensis subsp. rosaceus	Polyketide	Polyketide	dorrigocin-migrastatin	100
BGC0001288_BAQ25500	MiBIG	-	Micromonospora sp. GMKU326	Polyketide	Polyketide	maklamicin	100
BGC0001179_AHL46726	MiBIG	-	Streptomyces bottropensis	Polyketide	Polyketide	rishirilide B	100
BGC0000445_CAJ34357	MiBIG	-	Micromonospora sp. ML1	NRP	NRP	thiocoraline	100
BGC0001060_ACB47053	MiBIG	-	Micromonospora chersina	Polyketide	Polyketide	dynemicin	100
BGC0000162_ACB37727	MiBIG	-	Micromonospora chalcea	Polyketide	Polyketide	tetrocarcin A	100
BGC0000445_CAJ34378	MiBIG	-	Micromonospora sp. ML1	NRP	NRP	thiocoraline	100
BGC0000952_CBW45736	MiBIG	-	Streptomyces pristinaespiralis	NRP-Polyketide	NRP-Polyketide	pristinamycin	100
BGC0000084_AFL48534	MiBIG	-	Streptomyces sp. CS684	Polyketide	Polyketide	laidlomycin	100
BGC0000274_AFY23040	MiBIG	-	uncultured bacterium	Polyketide	Polyketide	tetarimycin	100
BGC0001078_BAE78990	MiBIG	-	Streptomyces sp. KO-3988	Polyketide-Terpene	Polyketide-Terpene	furaquinocin A	100
BGC0000105_AAP42853	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	nanchangmycin	100
BGC0000273_CAJ42325	MiBIG	-	Streptomyces steffisburgensis	Polyketide-Saccharide	Polyketide-Saccharide	steffimycin	100
BGC0000247_CAK50770	MiBIG	-	Streptomyces argillaceus	Polyketide-Saccharide	Polyketide-Saccharide	mithramycin	100
BGC0000915_AAD28451	MiBIG	-	Streptomyces lavendulae	Other	Other	mitomycin	100
BGC0001719_AWM72919	MiBIG	-	Streptomyces olivaceus	Polyketide	Polyketide	olimycin A-olimycin B	100
BGC0001179_AHL46725	MiBIG	-	Streptomyces bottropensis	Polyketide	Polyketide	rishirilide B	100
BGC0000220_AAF81721	MiBIG	-	Streptomyces maritimus	Polyketide	Polyketide	enterocin	100
BGC0001719_AWM72920	MiBIG	-	Streptomyces olivaceus	Polyketide	Polyketide	olimycin A-olimycin B	100
BGC0001366_ctg1_orf2	MiBIG	-	Streptomyces sp. FJS31-2	Polyketide	Polyketide	BE-24566B-zunyimycin A	100
BGC0000108_ADX66458	MiBIG	-	Streptomyces chattanoogensis	Polyketide	Polyketide	natamycin	100
BGC0000221_ACX83625	MiBIG	-	uncultured soil bacterium V167	Polyketide	Polyketide	erdacin	100
BGC0001513_AUO15556	MiBIG	-	Actinobacteria bacterium	Polyketide	Polyketide	anthrabenzoxocinone	100
BGC0000100_AAO65809	MiBIG	-	Streptomyces cinnamonensis	Polyketide	Polyketide	monensin	100
