ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.540227.peg.3088	CuatroCienegas	37.4	Nocardia sp. CC227C	NRPS	NRPS	lugdunomycin	11
fig|6666666.540227.peg.4696	CuatroCienegas	47.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.3562	CuatroCienegas	40.1	Nocardia sp. CC227C	T2PKS	NRPS	granaticin	24
fig|6666666.540227.peg.4202	CuatroCienegas	39.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540612.peg.1974	CuatroCienegas	312.1	Streptomyces sp. CC210A	NRPS	T3PKS	feglymycin	47
fig|6666666.540612.peg.854	CuatroCienegas	590.1	Streptomyces sp. CC210A	PKS-like	PKS-like		
fig|6666666.540612.peg.918	CuatroCienegas	837.1	Streptomyces sp. CC210A	LAP thiopeptide	LAP thiopeptide		
fig|6666666.540612.peg.5365	CuatroCienegas	468.1	Streptomyces sp. CC210A	NRPS	NRPS	malonomycin	11
fig|6666666.540613.peg.1326	CuatroCienegas	21.1	Nocardia sp. CC213A	NRPS	bacteriocin	isorenieratene	18
fig|6666666.540613.peg.1301	CuatroCienegas	21.1	Nocardia sp. CC213A	NRPS	bacteriocin	isorenieratene	18
fig|6666666.540613.peg.230	CuatroCienegas	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.5979	CuatroCienegas	40.1	Nocardia sp. CC213A	NRPS	NRPS	nocobactin NA	37
fig|6666666.540613.peg.3095	CuatroCienegas	15.1	Nocardia sp. CC213A	NRPS	NRPS	butyrolactol A	20
fig|6666666.540613.peg.285	CuatroCienegas	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.3431	CuatroCienegas	38.1	Nocardia sp. CC213A	T3PKS	arylpolyene		
fig|6666666.540613.peg.3188	CuatroCienegas	15.2	Nocardia sp. CC213A	NRPS	NRPS	heterobactin A / heterobactin S2	72
fig|6666666.540613.peg.6463	CuatroCienegas	29.1	Nocardia sp. CC213A	NRPS	NRPS	aurantimycin A	6
fig|6666666.540613.peg.1107	CuatroCienegas	14.1	Nocardia sp. CC213A	NRPS	NRPS	calicheamicin	4
fig|6666666.540613.peg.3052	CuatroCienegas	15.1	Nocardia sp. CC213A	NRPS	NRPS	butyrolactol A	20
fig|6666666.540613.peg.3922	CuatroCienegas	19.1	Nocardia sp. CC213A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540613.peg.3913	CuatroCienegas	19.1	Nocardia sp. CC213A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540613.peg.6838	CuatroCienegas	5.1	Nocardia sp. CC213A	NRPS	NRPS	berninamycin A	26
fig|6666666.540615.peg.1556	CuatroCienegas	15.1	Nocardia sp. CC216A	bacteriocin	NRPS	isorenieratene	18
fig|6666666.540615.peg.1581	CuatroCienegas	15.1	Nocardia sp. CC216A	bacteriocin	NRPS	isorenieratene	18
fig|6666666.540615.peg.4403	CuatroCienegas	24.1	Nocardia sp. CC216A	NRPS	NRPS	amychelin	18
fig|6666666.540615.peg.5230	CuatroCienegas	39.1	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540615.peg.2780	CuatroCienegas	50.1	Nocardia sp. CC216A	NRPS	NRPS	butyrolactol A	20
fig|6666666.540615.peg.4459	CuatroCienegas	24.1	Nocardia sp. CC216A	NRPS	NRPS	amychelin	18
fig|6666666.540615.peg.1334	CuatroCienegas	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.2873	CuatroCienegas	50.2	Nocardia sp. CC216A	NRPS	NRPS	heterobactin A / heterobactin S2	72
fig|6666666.540615.peg.5003	CuatroCienegas	23.1	Nocardia sp. CC216A	NRPS	NRPS	aurantimycin A	6
fig|6666666.540615.peg.816	CuatroCienegas	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.2738	CuatroCienegas	50.1	Nocardia sp. CC216A	NRPS	NRPS	butyrolactol A	20
fig|6666666.540615.peg.2532	CuatroCienegas	37.1	Nocardia sp. CC216A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540615.peg.2523	CuatroCienegas	37.1	Nocardia sp. CC216A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540615.peg.6538	CuatroCienegas	26.1	Nocardia sp. CC216A	NRPS	NRPS	telomycin	8
fig|6666666.540620.peg.9596	CuatroCienegas	62.1	Streptomyces sp. CC226D	bacteriocin	NRPS		
fig|6666666.540620.peg.13733	CuatroCienegas	105.1	Streptomyces sp. CC226D	NRPS	NRPS	isorenieratene	18
fig|6666666.540620.peg.6862	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.4400	CuatroCienegas	29.1	Streptomyces sp. CC226D	NRPS	T1PKS	collismycin A	85
fig|6666666.540620.peg.14473	CuatroCienegas	200.1	Streptomyces sp. CC226D	NRPS	NRPS	atratumycin	5
fig|6666666.540620.peg.11244	CuatroCienegas	80.1	Streptomyces sp. CC226D	NRPS	NRPS	butyrolactol A	20
fig|6666666.540620.peg.2366	CuatroCienegas	18.1	Streptomyces sp. CC226D	NRPS	T3PKS	tetronasin	11
fig|6666666.540620.peg.10343	CuatroCienegas	185.2	Streptomyces sp. CC226D	NRPS	NRPS	streptobactin	94
fig|6666666.540620.peg.6818	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.14762	CuatroCienegas	85.2	Streptomyces sp. CC226D	NRPS	NRPS	polyoxypeptin	8
fig|6666666.540620.peg.12573	CuatroCienegas	122.1	Streptomyces sp. CC226D	arylpolyene	T3PKS		
fig|6666666.540620.peg.7389	CuatroCienegas	201.1	Streptomyces sp. CC226D	NRPS	NRPS	heterobactin A / heterobactin S2	63
fig|6666666.540620.peg.14946	CuatroCienegas	56.1	Streptomyces sp. CC226D	NRPS	T1PKS	kanamycin	2
fig|6666666.540620.peg.331	CuatroCienegas	108.1	Streptomyces sp. CC226D	NRPS	NRPS	calicheamicin	4
fig|6666666.540620.peg.11286	CuatroCienegas	80.1	Streptomyces sp. CC226D	NRPS	NRPS	butyrolactol A	20
fig|6666666.540620.peg.11208	CuatroCienegas	194.1	Streptomyces sp. CC226D	NRPS	NRPS	sarpeptin A / sarpeptin B	91
fig|6666666.540620.peg.14753	CuatroCienegas	85.2	Streptomyces sp. CC226D	NRPS	NRPS	polyoxypeptin	8
fig|6666666.540620.peg.3054	CuatroCienegas	92.1	Streptomyces sp. CC226D	terpene	terpene		
fig|6666666.540620.peg.13547	CuatroCienegas	31.1	Streptomyces sp. CC226D	thioamide-NRP	NRPS	atratumycin	21
fig|6666666.540620.peg.13569	CuatroCienegas	31.1	Streptomyces sp. CC226D	thioamide-NRP	NRPS	atratumycin	21
fig|6666666.540620.peg.13575	CuatroCienegas	31.1	Streptomyces sp. CC226D	thioamide-NRP	NRPS	atratumycin	21
fig|6666666.540620.peg.9597	CuatroCienegas	62.1	Streptomyces sp. CC226D	bacteriocin	NRPS		
fig|6666666.540620.peg.11160	CuatroCienegas	158.1	Streptomyces sp. CC226D	NRPS	NRPS	berninamycin A	26
fig|6666666.540620.peg.14376	CuatroCienegas	71.1	Streptomyces sp. CC226D	terpene	terpene	SF2575	6
fig|6666666.540621.peg.3324	CuatroCienegas	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.4813	CuatroCienegas	158.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.5380	CuatroCienegas	103.1	Nocardiopsis sp. CC223A	lanthidin	lanthidin	caniferolide A / caniferolide B / caniferolide C / caniferolide D	8
fig|6666666.540621.peg.3294	CuatroCienegas	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.227	CuatroCienegas	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.4508	CuatroCienegas	95.1	Nocardiopsis sp. CC223A	terpene	terpene	isorenieratene	100
fig|6666666.540621.peg.5404	CuatroCienegas	103.1	Nocardiopsis sp. CC223A	lanthidin	lanthidin	caniferolide A / caniferolide B / caniferolide C / caniferolide D	8
fig|6666666.540754.peg.5219	CuatroCienegas	22.1	Streptomyces sp. CC224E	T3PKS	T3PKS	violapyrone B	28
fig|6666666.540754.peg.2517	CuatroCienegas	50.1	Streptomyces sp. CC224E	T1PKS	hglE-KS		
fig|6666666.540754.peg.969	CuatroCienegas	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.523	CuatroCienegas	31.3	Streptomyces sp. CC224E	NRPS-like	NRPS-like	formicamycins A-M	20
fig|6666666.540754.peg.505	CuatroCienegas	31.3	Streptomyces sp. CC224E	NRPS-like	NRPS-like	formicamycins A-M	20
fig|6666666.540754.peg.6987	CuatroCienegas	8.1	Streptomyces sp. CC224E	other	PKS-like	daptomycin	7
fig|6666666.540754.peg.5026	CuatroCienegas	57.1	Streptomyces sp. CC224E	terpene	NRPS	paulomycin	7
fig|6666666.540754.peg.7337	CuatroCienegas	11.1	Streptomyces sp. CC224E	T3PKS	terpene	2-methylisoborneol	100
fig|6666666.540754.peg.1451	CuatroCienegas	6.1	Streptomyces sp. CC224E	T1PKS	T1PKS	divergolide A / divergolide B / divergolide C / divergolide D	10
fig|6666666.540754.peg.7838	CuatroCienegas	33.3	Streptomyces sp. CC224E	T2PKS	butyrolactone	prejadomycin / rabelomycin / gaudimycin C / gaudimycin D / UWM6 / gaudimycin A	56
fig|6666666.540754.peg.2647	CuatroCienegas	47.1	Streptomyces sp. CC224E	NRPS-like	T1PKS	arginomycin	10
fig|6666666.540754.peg.1446	CuatroCienegas	6.1	Streptomyces sp. CC224E	T1PKS	T1PKS	divergolide A / divergolide B / divergolide C / divergolide D	10
fig|6666666.540754.peg.7910	CuatroCienegas	33.5	Streptomyces sp. CC224E	terpene	terpene	ashimides	12
fig|6666666.540754.peg.5047	CuatroCienegas	57.1	Streptomyces sp. CC224E	terpene	NRPS	paulomycin	7
fig|6666666.540754.peg.5210	CuatroCienegas	22.1	Streptomyces sp. CC224E	T3PKS	T3PKS	violapyrone B	28
fig|6666666.540754.peg.968	CuatroCienegas	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|1823.7.peg.7540	CuatroCienegas	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.6940	CuatroCienegas	551.1	Nocardia otitidiscaviarum sp. CC201C	NRPS-like	NRPS-like		
fig|1823.7.peg.4270	CuatroCienegas	159.1	Nocardia otitidiscaviarum sp. CC201C	terpene	terpene		
fig|6666666.563199.peg.5154	CuatroCienegas	1.11	Streptomyces sp. CC208B	NRPS	T3PKS	A-47934	35
fig|6666666.563199.peg.10396	CuatroCienegas	1.16	Streptomyces sp. CC208B	terpene	T3PKS	flaviolin	75
fig|6666666.563199.peg.2747	CuatroCienegas	1.9	Streptomyces sp. CC208B	butyrolactone	butyrolactone	3,7-dihydroxytropolone	44
fig|6666666.563200.peg.5707	CuatroCienegas	85.1	Streptomyces sp. CC216B	NRPS	T1PKS	collismycin A	44
fig|6666666.563200.peg.3789	CuatroCienegas	2.1	Streptomyces sp. CC216B	NRPS	T1PKS	kanamycin	2
fig|6666666.563200.peg.1726	CuatroCienegas	11.1	Streptomyces sp. CC216B	NRPS	NRPS	tetronasin	11
fig|6666666.563200.peg.2782	CuatroCienegas	70.1	Streptomyces sp. CC216B	NRPS	NRPS	coelichelin	81
fig|6666666.563200.peg.5362	CuatroCienegas	79.1	Streptomyces sp. CC216B	lanthipeptide	lanthipeptide		
fig|6666666.563200.peg.3822	CuatroCienegas	2.1	Streptomyces sp. CC216B	NRPS	T1PKS	kanamycin	2
fig|6666666.563200.peg.7481	CuatroCienegas	149.1	Streptomyces sp. CC216B	NRPS	NRPS	friulimicin A / friulimicin B / friulimicin C / friulimicin D	12
fig|6666666.563200.peg.6137	CuatroCienegas	38.1	Streptomyces sp. CC216B	ladderane	ladderane	atratumycin	18
fig|6666666.563200.peg.6116	CuatroCienegas	38.1	Streptomyces sp. CC216B	ladderane	ladderane	atratumycin	18
fig|6666666.563200.peg.6109	CuatroCienegas	38.1	Streptomyces sp. CC216B	ladderane	ladderane	atratumycin	18
fig|6666666.563201.peg.1297	CuatroCienegas	638.1	Streptomyces sp. CC216C	NRPS	NRPS	coelichelin	81
fig|6666666.563201.peg.6612	CuatroCienegas	125.1	Streptomyces sp. CC216C	T1PKS	T1PKS	maduropeptin	15
fig|6666666.563201.peg.5053	CuatroCienegas	262.1	Streptomyces sp. CC216C	NRPS	NRPS	tetronasin	11
fig|6666666.563202.peg.8350	CuatroCienegas	84.1	Streptomyces sp. CC224B	NRPS	ladderane	friulimicin A / friulimicin B / friulimicin C / friulimicin D	24
fig|6666666.563202.peg.8070	CuatroCienegas	151.1	Streptomyces sp. CC224B	T2PKS	T2PKS	setomimycin	86
fig|6666666.563202.peg.6030	CuatroCienegas	167.1	Streptomyces sp. CC224B	NRPS	other	himastatin	52
fig|6666666.563202.peg.2743	CuatroCienegas	24.1	Streptomyces sp. CC224B	lassopeptide	lassopeptide	SSV-2083	54
fig|6666666.563202.peg.5778	CuatroCienegas	217.1	Streptomyces sp. CC224B	NRPS	bacteriocin	(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	24
fig|6666666.563202.peg.8316	CuatroCienegas	84.1	Streptomyces sp. CC224B	NRPS	ladderane	friulimicin A / friulimicin B / friulimicin C / friulimicin D	24
fig|6666666.563202.peg.3084	CuatroCienegas	203.2	Streptomyces sp. CC224B	phenazine	phenazine		
fig|6666666.563202.peg.3235	CuatroCienegas	61.1	Streptomyces sp. CC224B	T1PKS	NRPS	enduracidin	4
fig|6666666.584549.peg.10343	CuatroCienegas	44.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	daptomycin	7
fig|6666666.584549.peg.8198	CuatroCienegas	75.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	atratumycin	7
fig|6666666.584549.peg.3583	CuatroCienegas	40.1	Streptomyces sp. CC213Dhybcontrimo	T2PKS	T2PKS	chromomycin A3	88
fig|6666666.584549.peg.10404	CuatroCienegas	44.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	daptomycin	7
fig|6666666.584549.peg.11952	CuatroCienegas	23.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	83
fig|6666666.584551.peg.7070	CuatroCienegas	136.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	melanin	istamycin	2
fig|6666666.584551.peg.5544	CuatroCienegas	219.1	Streptomyces sp. CC219Ahybcontrimo	lanthipeptide	lanthipeptide		
fig|6666666.590938.peg.5286	CuatroCienegas	153.1	Streptomyces rochei CC365	terpene	terpene	lysolipin I	4
fig|6666666.590938.peg.3694	CuatroCienegas	135.1	Streptomyces rochei CC308	T3PKS	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin	33
fig|6666666.590938.peg.6418	CuatroCienegas	237.1	Streptomyces rochei CC616	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590938.peg.5486	CuatroCienegas	175.1	Streptomyces rochei CC459	NRPS	NRPS	coelichelin	100
fig|6666666.590938.peg.5624	CuatroCienegas	33.1	Streptomyces rochei CC155	NRPS	T1PKS	levorin A3 / C06690 / FR-008-III / candicidin A / UNII-AP5PEF5W7U	90
fig|6666666.590938.peg.5948	CuatroCienegas	78.1	Streptomyces rochei CC200	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.7297	CuatroCienegas	48.1	Streptomyces rochei CC140	terpene	terpene	lysolipin I	4
fig|6666666.590939.peg.2412	CuatroCienegas	255.1	Streptomyces rochei CC421	T3PKS	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin	33
fig|6666666.590939.peg.5389	CuatroCienegas	344.1	Streptomyces rochei CC589	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.6814	CuatroCienegas	22.1	Streptomyces rochei CC108	T1PKS	NRPS	antimycin	31
fig|6666666.590939.peg.6102	CuatroCienegas	280.2	Streptomyces rochei CC473	indole	indole	7-prenylisatin	100
fig|6666666.590940.peg.5539	CuatroCienegas	18.2	Streptomyces rochei CC362	terpene	terpene	lysolipin I	4
fig|6666666.590940.peg.314	CuatroCienegas	8.2	Streptomyces rochei CC245	lanthidin	lanthidin		
fig|6666666.590940.peg.2281	CuatroCienegas	53.1	Streptomyces rochei CC822	T3PKS	T3PKS	herboxidiene	8
fig|6666666.590940.peg.3965	CuatroCienegas	23.4	Streptomyces rochei CC517	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590940.peg.3148	CuatroCienegas	2.1	Streptomyces rochei CC55	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.315	CuatroCienegas	8.2	Streptomyces rochei CC246	lanthidin	lanthidin		
fig|6666666.590940.peg.143	CuatroCienegas	8.1	Streptomyces rochei CC184	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590940.peg.3801	CuatroCienegas	23.1	Streptomyces rochei CC449	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.2564	CuatroCienegas	51.1	Streptomyces rochei CC755	T1PKS	NRPS-like	antimycin	93
fig|6666666.590940.peg.6833	CuatroCienegas	43.1	Streptomyces rochei CC697	indole	indole	7-prenylisatin	100
fig|6666666.590941.peg.3289	CuatroCienegas	4.1	Streptomyces lentzea CC431	NRPS	NRPS		
fig|6666666.590941.peg.3375	CuatroCienegas	7.1	Streptomyces lentzea CC671	NRPS-like	NRPS-like	indigoidine	6
fig|6666666.590941.peg.5163	CuatroCienegas	5.1	Streptomyces lentzea CC481	NRPS	NRPS	coelichelin	72
fig|6666666.590941.peg.7070	CuatroCienegas	1.4	Streptomyces lentzea CC289	PKS-like	arylpolyene	virginiamycin S1	22
fig|6666666.590941.peg.4148	CuatroCienegas	2.1	Streptomyces lentzea CC390	NRPS-like	NRPS-like		
fig|6666666.590941.peg.3845	CuatroCienegas	35.1	Streptomyces lentzea CC1114	T1PKS	T1PKS	maduropeptin	28
fig|6666666.590941.peg.1183	CuatroCienegas	15.2	Streptomyces lentzea CC851	PKS-like	indole	fortimicin	6
fig|6666666.590941.peg.7078	CuatroCienegas	1.4	Streptomyces lentzea CC297	PKS-like	arylpolyene	virginiamycin S1	22
fig|6666666.590941.peg.7007	CuatroCienegas	1.4	Streptomyces lentzea CC226	PKS-like	arylpolyene	virginiamycin S1	22
fig|6666666.590941.peg.7047	CuatroCienegas	1.4	Streptomyces lentzea CC266	PKS-like	arylpolyene	virginiamycin S1	22
fig|6666666.590941.peg.7063	CuatroCienegas	1.4	Streptomyces lentzea CC282	PKS-like	arylpolyene	virginiamycin S1	22
fig|6666666.687569.peg.1544	CuatroCienegas	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.691810.peg.2116	CuatroCienegas	349.1	Streptomyces sp. CC219CV45	NRPS	NRPS	malonomycin	11
BGC0000233_AAP85343	MiBIG	-	Streptomyces griseoruber	Polyketide	Polyketide	hedamycin	100
BGC0000226_AAP69588	MiBIG	-	Streptomyces griseoflavus	Polyketide	Polyketide	gilvocarcin	100
BGC0000376_BAP16696	MiBIG	-	Streptomyces sp. Sp080513GE-23	NRP	NRP	JBIR-34,JBIR-35	100
BGC0000409_AEA29627	MiBIG	-	Streptomyces albus subsp. albus	NRP	NRP	porothramycin	100
BGC0000238_ABX71122	MiBIG	-	Streptomyces rishiriensis	Polyketide	Polyketide	lactonamycin	100
BGC0000433_CAE02637	MiBIG	-	Bacillus amyloliquefaciens subsp. plantarum str. FZB42	NRP	NRP	surfactin	100
BGC0001676_AVR52588	MiBIG	-	Streptomyces sp. FXJ1.235	Alkaloid	Alkaloid	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	100
BGC0001381_AJO72706	MiBIG	-	Nocardia terpenica	Polyketide	Polyketide	brasilinolide A-brasilinolide B-brasilinolide C	100
BGC0000163_ACR50758	MiBIG	-	Streptomyces longisporoflavus	Polyketide	Polyketide	tetronasin	100
BGC0001302_AKC91608	MiBIG	-	Streptomyces lomondensis	Other	Other	lomofungin	100
BGC0001782_ARP51735	MiBIG	-	Streptomyces sp. SCSIO 03032	Other	Other	spiroindimicins-indimicins-lynamicins	100
BGC0001652_AOC89016	MiBIG	-	Streptomyces sp. ICBB 8177	NRP	NRP	limazepine C-limazepine D-limazepine E-limazepine F-limazepine A	100
BGC0001433_SCO70333	MiBIG	-	Streptomyces argillaceus	Polyketide	Polyketide	argimycin P	100
BGC0000115_AAF71782	MiBIG	-	Streptomyces noursei ATCC 11455	Polyketide-Saccharide	Polyketide-Saccharide	nystatin	100
BGC0001302_AKC91603	MiBIG	-	Streptomyces lomondensis	Other	Other	lomofungin	100
BGC0000086_BAG85021	MiBIG	-	Streptomyces lasaliensis	Polyketide	Polyketide	lasalocid	100
BGC0000163_ACR50786	MiBIG	-	Streptomyces longisporoflavus	Polyketide	Polyketide	tetronasin	100
BGC0000087_CAQ64682	MiBIG	-	Streptomyces lasaliensis	Polyketide	Polyketide	lasalocid	100
BGC0001648_ANR02560	MiBIG	-	Streptomyces sp.	Polyketide	Polyketide	lasalocid	100
BGC0000336_AAX31567	MiBIG	-	Streptomyces roseosporus NRRL 11379	NRP	NRP	daptomycin	100
BGC0001065_AEZ64571	MiBIG	-	Streptomyces chromofuscus	Polyketide	Polyketide	herboxidiene	100
BGC0001598_AOE23584	MiBIG	-	Streptomyces diastatochromogenes	NRP-Polyketide	NRP-Polyketide	foxicins A-D	100
BGC0000339_BAE98164	MiBIG	-	Streptomyces lasaliensis	NRP	NRP	echinomycin	100
BGC0001469_RAT94085	MiBIG	-	Brevibacillus sp. Leaf182	NRP	NRP	marthiapeptide A	100
BGC0001048_ABL74964	MiBIG	-	Streptoalloteichus hindustanus	NRP-Polyketide-Saccharide	NRP-Polyketide-Saccharide	tallysomycin	100
BGC0000548_AAG32542	MiBIG	-	Streptococcus salivarius	RiPP	RiPP	salivaricin A	100
BGC0001555_YP_002539321	MiBIG	-	Escherichia coli chi7122	RiPP	RiPP	colicin V	100
BGC0000854_ACP19701	MiBIG	-	Methylomicrobium alcaliphilum 20Z	Other	Other	ectoine	100
BGC0000595_NP_626683	MiBIG	-	Streptomyces coelicolor A3(2)	RiPP	RiPP	SCO-2138	100
BGC0000596_WP_003976366	MiBIG	-	Streptomyces lividans TK24	RiPP	RiPP	SLI-2138	100
BGC0000381_AAU39364	MiBIG	-	Bacillus licheniformis DSM 13 = ATCC 14580	NRP	NRP	lichenysin	100
BGC0001066_CAQ52631	MiBIG	-	Streptomyces violaceoruber	Polyketide	Polyketide	kendomycin	100
BGC0000547_ACX68640	MiBIG	-	Streptococcus salivarius	RiPP	RiPP	salivaricin 9	100
BGC0000561_BAJ10692	MiBIG	-	Streptococcus thermophilus	RiPP	RiPP	thermophilin 1277	100
BGC0000065_ADE22329	MiBIG	-	Streptomyces galbus	Polyketide	Polyketide	galbonolides	100
BGC0001055_CAJ87568	MiBIG	-	Escherichia coli	NRP-Polyketide	NRP-Polyketide	yersiniabactin	100
BGC0000794_AAR99616	MiBIG	-	Geobacillus stearothermophilus	Saccharide	Saccharide	S-layer glycan	100
BGC0000015_AAV37058	MiBIG	-	Streptomyces nodosus	Polyketide	Polyketide	amphotericin	100
BGC0000714_ACN38366	MiBIG	-	Micromonospora inyonensis	Saccharide	Saccharide	sisomicin	100
BGC0000597_WP_009188436	MiBIG	-	Streptomyces sp. e14	RiPP	RiPP	SWA-2138	100
BGC0000406_CAJ14055	MiBIG	-	Streptomyces viridochromogenes	NRP	NRP	phosphinothricin	100
BGC0000434_BAI63275	MiBIG	-	Streptomyces sp. SNA15896	NRP	NRP	SW-163	100
